_about,average_price,average_price_detached,average_price_existing_property,average_price_flat_maisonette,average_price_new_build,average_price_semi_detached,average_price_terraced,house_price_index,house_price_index_detached,house_price_index_existing_property,house_price_index_flat_maisonette,house_price_index_new_build,house_price_index_semi_detached,house_price_index_terraced,ref_month,ref_period_duration,ref_period_start,ref_region,sales_volume,sales_volume_existing_property,sales_volume_new_build,percentage_change,percentage_change_detached,percentage_change_existing_property,percentage_change_flat_maisonette,percentage_change_new_build,percentage_change_semi_detached,percentage_change_terraced,percentage_annual_change,percentage_annual_change_detached,percentage_annual_change_existing_property,percentage_annual_change_flat_maisonette,percentage_annual_change_new_build,percentage_annual_change_semi_detached,percentage_annual_change_terraced,sales_volume_cash,sales_volume_mortgage
http://landregistry.data.gov.uk/data/ukhpi/region/charnwood/month/1995-01,50613,80037,50101.0,30996,61869.0,48097,38164,19.0,19.4,19.0,22.4,18.3,18.6,18.3,1995-01,1,1995-01-01 00:00:00,http://landregistry.data.gov.uk/id/region/charnwood,118.0,96.0,22.0,,,,,,,,,,,,,,,,
http://landregistry.data.gov.uk/data/ukhpi/region/charnwood/month/1995-02,49404,77469,48867.0,30247,60579.0,47166,37337,18.5,18.7,18.5,21.8,17.9,18.3,17.9,1995-02,1,1995-02-01 00:00:00,http://landregistry.data.gov.uk/id/region/charnwood,158.0,122.0,36.0,-2.4,-3.2,-2.5,-2.4,-2.1,-1.9,-2.2,,,,,,,,,
http://landregistry.data.gov.uk/data/ukhpi/region/charnwood/month/1995-03,49914,78052,49352.0,30589,61297.0,47676,37820,18.7,18.9,18.7,22.1,18.2,18.5,18.1,1995-03,1,1995-03-01 00:00:00,http://landregistry.data.gov.uk/id/region/charnwood,245.0,192.0,53.0,1.0,0.8,1.0,1.1,1.2,1.1,1.3,,,,,,,,,
http://landregistry.data.gov.uk/data/ukhpi/region/charnwood/month/1995-04,50112,78055,49569.0,30714,61440.0,47943,38048,18.8,18.9,18.8,22.2,18.2,18.6,18.2,1995-04,1,1995-04-01 00:00:00,http://landregistry.data.gov.uk/id/region/charnwood,195.0,160.0,35.0,0.4,0.0,0.4,0.4,0.2,0.6,0.6,,,,,,,,,
http://landregistry.data.gov.uk/data/ukhpi/region/charnwood/month/1995-05,50968,79340,50454.0,31273,62298.0,48769,38712,19.1,19.2,19.1,22.6,18.5,18.9,18.5,1995-05,1,1995-05-01 00:00:00,http://landregistry.data.gov.uk/id/region/charnwood,205.0,170.0,35.0,1.7,1.6,1.8,1.8,1.4,1.7,1.7,,,,,,,,,
http://landregistry.data.gov.uk/data/ukhpi/region/charnwood/month/1995-06,50892,79247,50392.0,31301,62142.0,48737,38567,19.1,19.2,19.1,22.6,18.4,18.9,18.5,1995-06,1,1995-06-01 00:00:00,http://landregistry.data.gov.uk/id/region/charnwood,265.0,193.0,72.0,-0.1,-0.1,-0.1,0.1,-0.2,-0.1,-0.4,,,,,,,,,
http://landregistry.data.gov.uk/data/ukhpi/region/charnwood/month/1995-07,51551,80506,51047.0,31498,62936.0,49320,39023,19.3,19.5,19.3,22.7,18.6,19.1,18.7,1995-07,1,1995-07-01 00:00:00,http://landregistry.data.gov.uk/id/region/charnwood,203.0,174.0,29.0,1.3,1.6,1.3,0.6,1.3,1.2,1.2,,,,,,,,,
http://landregistry.data.gov.uk/data/ukhpi/region/charnwood/month/1995-08,50884,79869,50380.0,30823,62149.0,48579,38454,19.1,19.3,19.1,22.3,18.4,18.8,18.4,1995-08,1,1995-08-01 00:00:00,http://landregistry.data.gov.uk/id/region/charnwood,264.0,219.0,45.0,-1.3,-0.8,-1.3,-2.1,-1.3,-1.5,-1.5,,,,,,,,,
http://landregistry.data.gov.uk/data/ukhpi/region/charnwood/month/1995-09,51426,80893,50985.0,30937,62474.0,49042,38870,19.3,19.6,19.3,22.3,18.5,19.0,18.6,1995-09,1,1995-09-01 00:00:00,http://landregistry.data.gov.uk/id/region/charnwood,239.0,200.0,39.0,1.1,1.3,1.2,0.4,0.5,1.0,1.1,,,,,,,,,
http://landregistry.data.gov.uk/data/ukhpi/region/charnwood/month/1995-10,51377,80831,50883.0,31091,62680.0,49076,38673,19.2,19.6,19.3,22.4,18.6,19.0,18.5,1995-10,1,1995-10-01 00:00:00,http://landregistry.data.gov.uk/id/region/charnwood,195.0,168.0,27.0,-0.1,-0.1,-0.2,0.5,0.3,0.1,-0.5,,,,,,,,,
http://landregistry.data.gov.uk/data/ukhpi/region/charnwood/month/1995-11,52132,81988,51591.0,31786,63803.0,49853,39142,19.5,19.8,19.5,22.9,18.9,19.3,18.7,1995-11,1,1995-11-01 00:00:00,http://landregistry.data.gov.uk/id/region/charnwood,236.0,194.0,42.0,1.5,1.4,1.4,2.2,1.8,1.6,1.2,,,,,,,,,
http://landregistry.data.gov.uk/data/ukhpi/region/charnwood/month/1995-12,52019,81673,51366.0,31827,64226.0,49816,39018,19.5,19.8,19.5,23.0,19.0,19.3,18.7,1995-12,1,1995-12-01 00:00:00,http://landregistry.data.gov.uk/id/region/charnwood,264.0,196.0,68.0,-0.2,-0.4,-0.4,0.1,0.7,-0.1,-0.3,,,,,,,,,
http://landregistry.data.gov.uk/data/ukhpi/region/charnwood/month/1996-01,52344,82311,51583.0,31798,65155.0,50082,39284,19.6,19.9,19.5,23.0,19.3,19.4,18.8,1996-01,1,1996-01-01 00:00:00,http://landregistry.data.gov.uk/id/region/charnwood,141.0,120.0,21.0,0.6,0.8,0.4,-0.1,1.4,0.5,0.7,3.4,2.8,3.0,2.6,5.3,4.1,2.9,,
http://landregistry.data.gov.uk/data/ukhpi/region/charnwood/month/1996-02,51869,81414,51031.0,31371,64975.0,49681,38976,19.4,19.7,19.3,22.6,19.2,19.2,18.6,1996-02,1,1996-02-01 00:00:00,http://landregistry.data.gov.uk/id/region/charnwood,164.0,144.0,20.0,-0.9,-1.1,-1.1,-1.3,-0.3,-0.8,-0.8,5.0,5.1,4.4,3.7,7.3,5.3,4.4,,
http://landregistry.data.gov.uk/data/ukhpi/region/charnwood/month/1996-03,51406,80870,50523.0,30896,64628.0,49249,38531,19.3,19.6,19.1,22.3,19.1,19.1,18.4,1996-03,1,1996-03-01 00:00:00,http://landregistry.data.gov.uk/id/region/charnwood,280.0,222.0,58.0,-0.9,-0.7,-1.0,-1.5,-0.5,-0.9,-1.1,3.0,3.6,2.4,1.0,5.4,3.3,1.9,,
http://landregistry.data.gov.uk/data/ukhpi/region/charnwood/month/1996-04,50274,78893,49434.0,30331,63031.0,48156,37808,18.8,19.1,18.7,21.9,18.7,18.6,18.1,1996-04,1,1996-04-01 00:00:00,http://landregistry.data.gov.uk/id/region/charnwood,219.0,193.0,26.0,-2.2,-2.4,-2.2,-1.8,-2.5,-2.2,-1.9,0.3,1.1,-0.3,-1.2,2.6,0.4,-0.6,,
http://landregistry.data.gov.uk/data/ukhpi/region/charnwood/month/1996-05,50468,79148,49697.0,30554,62750.0,48280,38068,18.9,19.1,18.8,22.1,18.6,18.7,18.2,1996-05,1,1996-05-01 00:00:00,http://landregistry.data.gov.uk/id/region/charnwood,292.0,249.0,43.0,0.4,0.3,0.5,0.7,-0.4,0.3,0.7,-1.0,-0.2,-1.5,-2.3,0.7,-1.0,-1.7,,
http://landregistry.data.gov.uk/data/ukhpi/region/charnwood/month/1996-06,50527,79169,49783.0,30835,62614.0,48283,38213,18.9,19.2,18.9,22.3,18.5,18.7,18.3,1996-06,1,1996-06-01 00:00:00,http://landregistry.data.gov.uk/id/region/charnwood,293.0,240.0,53.0,0.1,0.0,0.2,0.9,-0.2,0.0,0.4,-0.7,-0.1,-1.2,-1.5,0.8,-0.9,-0.9,,
http://landregistry.data.gov.uk/data/ukhpi/region/charnwood/month/1996-07,51003,80038,50284.0,30964,62979.0,48737,38513,19.1,19.4,19.1,22.4,18.7,18.9,18.4,1996-07,1,1996-07-01 00:00:00,http://landregistry.data.gov.uk/id/region/charnwood,285.0,248.0,37.0,0.9,1.1,1.0,0.4,0.6,0.9,0.8,-1.1,-0.6,-1.5,-1.7,0.1,-1.2,-1.3,,
http://landregistry.data.gov.uk/data/ukhpi/region/charnwood/month/1996-08,51445,81114,50702.0,30977,63653.0,49067,38759,19.3,19.6,19.2,22.4,18.9,19.0,18.5,1996-08,1,1996-08-01 00:00:00,http://landregistry.data.gov.uk/id/region/charnwood,287.0,254.0,33.0,0.9,1.3,0.8,0.0,1.1,0.7,0.6,1.1,1.6,0.6,0.5,2.4,1.0,0.8,,
http://landregistry.data.gov.uk/data/ukhpi/region/charnwood/month/1996-09,51980,82254,51252.0,30968,64143.0,49495,39119,19.5,19.9,19.4,22.4,19.0,19.2,18.7,1996-09,1,1996-09-01 00:00:00,http://landregistry.data.gov.uk/id/region/charnwood,235.0,199.0,36.0,1.0,1.4,1.1,0.0,0.8,0.9,0.9,1.1,1.7,0.5,0.1,2.7,0.9,0.6,,
http://landregistry.data.gov.uk/data/ukhpi/region/charnwood/month/1996-10,52831,83727,52093.0,31397,65186.0,50314,39677,19.8,20.3,19.7,22.7,19.3,19.5,19.0,1996-10,1,1996-10-01 00:00:00,http://landregistry.data.gov.uk/id/region/charnwood,251.0,219.0,32.0,1.6,1.8,1.6,1.4,1.6,1.7,1.4,2.8,3.6,2.4,1.0,4.0,2.5,2.6,,
http://landregistry.data.gov.uk/data/ukhpi/region/charnwood/month/1996-11,53294,84272,52554.0,31799,65722.0,50809,40054,20.0,20.4,19.9,23.0,19.5,19.7,19.2,1996-11,1,1996-11-01 00:00:00,http://landregistry.data.gov.uk/id/region/charnwood,328.0,277.0,51.0,0.9,0.7,0.9,1.3,0.8,1.0,0.9,2.2,2.8,1.9,0.0,3.0,1.9,2.3,,
http://landregistry.data.gov.uk/data/ukhpi/region/charnwood/month/1996-12,53755,84727,53031.0,32033,66125.0,51350,40428,20.1,20.5,20.1,23.1,19.6,19.9,19.3,1996-12,1,1996-12-01 00:00:00,http://landregistry.data.gov.uk/id/region/charnwood,304.0,251.0,53.0,0.9,0.5,0.9,0.7,0.6,1.1,0.9,3.3,3.7,3.2,0.6,3.0,3.1,3.6,,
http://landregistry.data.gov.uk/data/ukhpi/region/charnwood/month/1997-01,52223,82269,51549.0,31064,64034.0,49855,39353,19.6,19.9,19.5,22.4,19.0,19.3,18.8,1997-01,1,1997-01-01 00:00:00,http://landregistry.data.gov.uk/id/region/charnwood,194.0,162.0,32.0,-2.8,-2.9,-2.8,-3.0,-3.2,-2.9,-2.7,-0.2,-0.1,-0.1,-2.3,-1.7,-0.5,0.2,,
http://landregistry.data.gov.uk/data/ukhpi/region/charnwood/month/1997-02,52102,82288,51423.0,30816,63958.0,49732,39166,19.5,19.9,19.5,22.2,18.9,19.3,18.7,1997-02,1,1997-02-01 00:00:00,http://landregistry.data.gov.uk/id/region/charnwood,220.0,192.0,28.0,-0.2,0.0,-0.2,-0.8,-0.1,-0.2,-0.5,0.5,1.1,0.8,-1.8,-1.6,0.1,0.5,,
http://landregistry.data.gov.uk/data/ukhpi/region/charnwood/month/1997-03,52039,82349,51330.0,30881,64121.0,49570,39150,19.5,19.9,19.4,22.3,19.0,19.2,18.7,1997-03,1,1997-03-01 00:00:00,http://landregistry.data.gov.uk/id/region/charnwood,250.0,207.0,43.0,-0.1,0.1,-0.2,0.2,0.3,-0.3,0.0,1.2,1.8,1.6,0.0,-0.8,0.7,1.6,,
http://landregistry.data.gov.uk/data/ukhpi/region/charnwood/month/1997-04,53501,84459,52766.0,31856,65969.0,51031,40278,20.0,20.4,20.0,23.0,19.5,19.8,19.3,1997-04,1,1997-04-01 00:00:00,http://landregistry.data.gov.uk/id/region/charnwood,240.0,211.0,29.0,2.8,2.6,2.8,3.2,2.9,2.9,2.9,6.4,7.1,6.7,5.0,4.7,6.0,6.5,,
http://landregistry.data.gov.uk/data/ukhpi/region/charnwood/month/1997-05,53671,84458,52971.0,31877,65878.0,51256,40494,20.1,20.4,20.1,23.0,19.5,19.8,19.4,1997-05,1,1997-05-01 00:00:00,http://landregistry.data.gov.uk/id/region/charnwood,321.0,289.0,32.0,0.3,0.0,0.4,0.1,-0.1,0.4,0.5,6.3,6.7,6.6,4.3,5.0,6.2,6.4,,
http://landregistry.data.gov.uk/data/ukhpi/region/charnwood/month/1997-06,54288,85516,53635.0,31969,66193.0,51881,40889,20.3,20.7,20.3,23.1,19.6,20.1,19.6,1997-06,1,1997-06-01 00:00:00,http://landregistry.data.gov.uk/id/region/charnwood,332.0,282.0,50.0,1.2,1.3,1.3,0.3,0.5,1.2,1.0,7.4,8.0,7.7,3.7,5.7,7.5,7.0,,
http://landregistry.data.gov.uk/data/ukhpi/region/charnwood/month/1997-07,54659,86290,54043.0,31845,66307.0,52178,41152,20.5,20.9,20.5,23.0,19.6,20.2,19.7,1997-07,1,1997-07-01 00:00:00,http://landregistry.data.gov.uk/id/region/charnwood,293.0,267.0,26.0,0.7,0.9,0.8,-0.4,0.2,0.6,0.6,7.2,7.8,7.5,2.8,5.3,7.1,6.9,,
http://landregistry.data.gov.uk/data/ukhpi/region/charnwood/month/1997-08,56201,89068,55586.0,32616,68037.0,53576,42215,21.1,21.5,21.1,23.5,20.2,20.7,20.2,1997-08,1,1997-08-01 00:00:00,http://landregistry.data.gov.uk/id/region/charnwood,335.0,294.0,41.0,2.8,3.2,2.9,2.4,2.6,2.7,2.6,9.2,9.8,9.6,5.3,6.9,9.2,8.9,,
http://landregistry.data.gov.uk/data/ukhpi/region/charnwood/month/1997-09,56479,89672,55840.0,32721,68537.0,53796,42387,21.2,21.7,21.2,23.6,20.3,20.8,20.3,1997-09,1,1997-09-01 00:00:00,http://landregistry.data.gov.uk/id/region/charnwood,308.0,265.0,43.0,0.5,0.7,0.5,0.3,0.7,0.4,0.4,8.7,9.0,9.0,5.7,6.9,8.7,8.4,,
http://landregistry.data.gov.uk/data/ukhpi/region/charnwood/month/1997-10,56947,90510,56297.0,33000,69147.0,54279,42639,21.3,21.9,21.3,23.8,20.5,21.0,20.4,1997-10,1,1997-10-01 00:00:00,http://landregistry.data.gov.uk/id/region/charnwood,313.0,266.0,47.0,0.8,0.9,0.8,0.9,0.9,0.9,0.6,7.8,8.1,8.1,5.1,6.1,7.9,7.5,,
http://landregistry.data.gov.uk/data/ukhpi/region/charnwood/month/1997-11,57030,90685,56369.0,33030,69334.0,54384,42647,21.4,21.9,21.4,23.8,20.5,21.1,20.4,1997-11,1,1997-11-01 00:00:00,http://landregistry.data.gov.uk/id/region/charnwood,284.0,249.0,35.0,0.1,0.2,0.1,0.1,0.3,0.2,0.0,7.0,7.6,7.3,3.9,5.5,7.0,6.5,,
http://landregistry.data.gov.uk/data/ukhpi/region/charnwood/month/1997-12,57157,90761,56485.0,33035,69569.0,54629,42675,21.4,22.0,21.4,23.9,20.6,21.1,20.4,1997-12,1,1997-12-01 00:00:00,http://landregistry.data.gov.uk/id/region/charnwood,243.0,191.0,52.0,0.2,0.1,0.2,0.0,0.3,0.5,0.1,6.3,7.1,6.5,3.1,5.2,6.4,5.6,,
http://landregistry.data.gov.uk/data/ukhpi/region/charnwood/month/1998-01,57625,91806,56874.0,33245,70729.0,54949,43008,21.6,22.2,21.5,24.0,21.0,21.3,20.6,1998-01,1,1998-01-01 00:00:00,http://landregistry.data.gov.uk/id/region/charnwood,175.0,163.0,12.0,0.8,1.2,0.7,0.6,1.7,0.6,0.8,10.3,11.6,10.3,7.0,10.5,10.2,9.3,,
http://landregistry.data.gov.uk/data/ukhpi/region/charnwood/month/1998-02,57343,91297,56519.0,33204,71014.0,54690,42810,21.5,22.1,21.4,24.0,21.0,21.2,20.5,1998-02,1,1998-02-01 00:00:00,http://landregistry.data.gov.uk/id/region/charnwood,199.0,180.0,19.0,-0.5,-0.6,-0.6,-0.1,0.4,-0.5,-0.5,10.1,10.9,9.9,7.8,11.0,10.0,9.3,,
http://landregistry.data.gov.uk/data/ukhpi/region/charnwood/month/1998-03,57076,90915,56222.0,33013,70960.0,54366,42668,21.4,22.0,21.3,23.8,21.0,21.0,20.4,1998-03,1,1998-03-01 00:00:00,http://landregistry.data.gov.uk/id/region/charnwood,245.0,197.0,48.0,-0.5,-0.4,-0.5,-0.6,-0.1,-0.6,-0.3,9.7,10.4,9.5,6.9,10.7,9.7,9.0,,
http://landregistry.data.gov.uk/data/ukhpi/region/charnwood/month/1998-04,57512,91350,56668.0,33281,71361.0,54872,43031,21.5,22.1,21.5,24.0,21.1,21.2,20.6,1998-04,1,1998-04-01 00:00:00,http://landregistry.data.gov.uk/id/region/charnwood,251.0,221.0,30.0,0.8,0.5,0.8,0.8,0.6,0.9,0.9,7.5,8.2,7.4,4.5,8.2,7.5,6.8,,
http://landregistry.data.gov.uk/data/ukhpi/region/charnwood/month/1998-05,57474,91139,56700.0,33144,70735.0,54831,43109,21.5,22.1,21.5,23.9,21.0,21.2,20.6,1998-05,1,1998-05-01 00:00:00,http://landregistry.data.gov.uk/id/region/charnwood,272.0,233.0,39.0,-0.1,-0.2,0.1,-0.4,-0.9,-0.1,0.2,7.1,7.9,7.0,4.0,7.4,7.0,6.5,,
http://landregistry.data.gov.uk/data/ukhpi/region/charnwood/month/1998-06,58541,92880,57785.0,33863,71777.0,55832,43892,21.9,22.5,21.9,24.4,21.3,21.6,21.0,1998-06,1,1998-06-01 00:00:00,http://landregistry.data.gov.uk/id/region/charnwood,305.0,271.0,34.0,1.9,1.9,1.9,2.2,1.5,1.8,1.8,7.8,8.6,7.7,5.9,8.4,7.6,7.3,,
http://landregistry.data.gov.uk/data/ukhpi/region/charnwood/month/1998-07,58374,92744,57628.0,33704,71508.0,55627,43753,21.9,22.4,21.8,24.3,21.2,21.5,20.9,1998-07,1,1998-07-01 00:00:00,http://landregistry.data.gov.uk/id/region/charnwood,330.0,295.0,35.0,-0.3,-0.1,-0.3,-0.5,-0.4,-0.4,-0.3,6.8,7.5,6.6,5.8,7.8,6.6,6.3,,
http://landregistry.data.gov.uk/data/ukhpi/region/charnwood/month/1998-08,59320,94667,58524.0,34095,72984.0,56396,44393,22.2,22.9,22.2,24.6,21.6,21.8,21.2,1998-08,1,1998-08-01 00:00:00,http://landregistry.data.gov.uk/id/region/charnwood,275.0,237.0,38.0,1.6,2.1,1.6,1.2,2.1,1.4,1.5,5.5,6.3,5.3,4.5,7.3,5.3,5.2,,
http://landregistry.data.gov.uk/data/ukhpi/region/charnwood/month/1998-09,58954,94296,58175.0,33804,72430.0,55980,44084,22.1,22.8,22.0,24.4,21.5,21.7,21.1,1998-09,1,1998-09-01 00:00:00,http://landregistry.data.gov.uk/id/region/charnwood,276.0,233.0,43.0,-0.6,-0.4,-0.6,-0.9,-0.8,-0.7,-0.7,4.4,5.2,4.2,3.3,5.7,4.1,4.0,,
http://landregistry.data.gov.uk/data/ukhpi/region/charnwood/month/1998-10,59030,94452,58249.0,33913,72526.0,56089,44068,22.1,22.9,22.1,24.5,21.5,21.7,21.1,1998-10,1,1998-10-01 00:00:00,http://landregistry.data.gov.uk/id/region/charnwood,304.0,272.0,32.0,0.1,0.2,0.1,0.3,0.1,0.2,0.0,3.7,4.4,3.5,2.8,4.9,3.3,3.4,,
http://landregistry.data.gov.uk/data/ukhpi/region/charnwood/month/1998-11,57860,92660,57075.0,33366,71258.0,55069,43019,21.7,22.4,21.6,24.1,21.1,21.3,20.6,1998-11,1,1998-11-01 00:00:00,http://landregistry.data.gov.uk/id/region/charnwood,250.0,227.0,23.0,-2.0,-1.9,-2.0,-1.6,-1.7,-1.8,-2.4,1.5,2.2,1.3,1.0,2.8,1.3,0.9,,
http://landregistry.data.gov.uk/data/ukhpi/region/charnwood/month/1998-12,58324,93234,57479.0,33782,72273.0,55613,43322,21.8,22.6,21.8,24.4,21.4,21.5,20.7,1998-12,1,1998-12-01 00:00:00,http://landregistry.data.gov.uk/id/region/charnwood,284.0,233.0,51.0,0.8,0.6,0.7,1.2,1.4,1.0,0.7,2.0,2.7,1.8,2.3,3.9,1.8,1.5,,
http://landregistry.data.gov.uk/data/ukhpi/region/charnwood/month/1999-01,58573,93720,57664.0,33919,73093.0,55834,43475,21.9,22.7,21.8,24.5,21.7,21.6,20.8,1999-01,1,1999-01-01 00:00:00,http://landregistry.data.gov.uk/id/region/charnwood,200.0,185.0,15.0,0.4,0.5,0.3,0.4,1.1,0.4,0.4,1.6,2.1,1.4,2.0,3.3,1.6,1.1,,
http://landregistry.data.gov.uk/data/ukhpi/region/charnwood/month/1999-02,59159,94502,58226.0,34248,73916.0,56398,43991,22.2,22.9,22.1,24.7,21.9,21.8,21.0,1999-02,1,1999-02-01 00:00:00,http://landregistry.data.gov.uk/id/region/charnwood,173.0,154.0,19.0,1.0,0.8,1.0,1.0,1.1,1.0,1.2,3.2,3.5,3.0,3.1,4.1,3.1,2.8,,
http://landregistry.data.gov.uk/data/ukhpi/region/charnwood/month/1999-03,59398,94977,58454.0,34379,74231.0,56595,44147,22.2,23.0,22.1,24.8,22.0,21.9,21.1,1999-03,1,1999-03-01 00:00:00,http://landregistry.data.gov.uk/id/region/charnwood,254.0,214.0,40.0,0.4,0.5,0.4,0.4,0.4,0.3,0.4,4.1,4.5,4.0,4.1,4.6,4.1,3.5,,
http://landregistry.data.gov.uk/data/ukhpi/region/charnwood/month/1999-04,60151,95824,59256.0,34859,74572.0,57333,44875,22.5,23.2,22.5,25.2,22.1,22.2,21.5,1999-04,1,1999-04-01 00:00:00,http://landregistry.data.gov.uk/id/region/charnwood,316.0,281.0,35.0,1.3,0.9,1.4,1.4,0.5,1.3,1.6,4.6,4.9,4.6,4.7,4.5,4.5,4.3,,
http://landregistry.data.gov.uk/data/ukhpi/region/charnwood/month/1999-05,61714,98113,60814.0,35712,76334.0,58830,46148,23.1,23.7,23.0,25.8,22.6,22.8,22.1,1999-05,1,1999-05-01 00:00:00,http://landregistry.data.gov.uk/id/region/charnwood,308.0,273.0,35.0,2.6,2.4,2.6,2.4,2.4,2.6,2.8,7.4,7.7,7.3,7.7,7.9,7.3,7.0,,
http://landregistry.data.gov.uk/data/ukhpi/region/charnwood/month/1999-06,62345,99085,61447.0,35978,77001.0,59362,46725,23.4,24.0,23.3,26.0,22.8,23.0,22.4,1999-06,1,1999-06-01 00:00:00,http://landregistry.data.gov.uk/id/region/charnwood,296.0,242.0,54.0,1.0,1.0,1.0,0.7,0.9,0.9,1.3,6.5,6.7,6.3,6.2,7.3,6.3,6.5,,
http://landregistry.data.gov.uk/data/ukhpi/region/charnwood/month/1999-07,62828,100296,61905.0,36137,77777.0,59695,47006,23.5,24.3,23.5,26.1,23.0,23.1,22.5,1999-07,1,1999-07-01 00:00:00,http://landregistry.data.gov.uk/id/region/charnwood,279.0,251.0,28.0,0.8,1.2,0.7,0.4,1.0,0.6,0.6,7.6,8.1,7.4,7.2,8.8,7.3,7.4,,
http://landregistry.data.gov.uk/data/ukhpi/region/charnwood/month/1999-08,62896,100736,61988.0,36110,77707.0,59621,47043,23.6,24.4,23.5,26.1,23.0,23.1,22.5,1999-08,1,1999-08-01 00:00:00,http://landregistry.data.gov.uk/id/region/charnwood,308.0,279.0,29.0,0.1,0.4,0.1,-0.1,-0.1,-0.1,0.1,6.0,6.4,5.9,5.9,6.5,5.7,6.0,,
http://landregistry.data.gov.uk/data/ukhpi/region/charnwood/month/1999-09,63827,102636,62928.0,36671,78640.0,60393,47644,23.9,24.8,23.8,26.5,23.3,23.4,22.8,1999-09,1,1999-09-01 00:00:00,http://landregistry.data.gov.uk/id/region/charnwood,329.0,296.0,33.0,1.5,1.9,1.5,1.6,1.2,1.3,1.3,8.3,8.8,8.2,8.5,8.6,7.9,8.1,,
http://landregistry.data.gov.uk/data/ukhpi/region/charnwood/month/1999-10,64710,104078,63809.0,37374,79622.0,61330,48152,24.2,25.2,24.2,27.0,23.6,23.7,23.0,1999-10,1,1999-10-01 00:00:00,http://landregistry.data.gov.uk/id/region/charnwood,291.0,275.0,16.0,1.4,1.4,1.4,1.9,1.2,1.6,1.1,9.6,10.2,9.5,10.2,9.8,9.3,9.3,,
http://landregistry.data.gov.uk/data/ukhpi/region/charnwood/month/1999-11,65868,105881,64964.0,38260,80931.0,62521,48918,24.7,25.6,24.6,27.6,24.0,24.2,23.4,1999-11,1,1999-11-01 00:00:00,http://landregistry.data.gov.uk/id/region/charnwood,329.0,304.0,25.0,1.8,1.7,1.8,2.4,1.6,1.9,1.6,13.8,14.3,13.8,14.7,13.6,13.5,13.7,,
http://landregistry.data.gov.uk/data/ukhpi/region/charnwood/month/1999-12,66874,107049,65920.0,39011,82511.0,63592,49758,25.0,25.9,25.0,28.2,24.4,24.6,23.8,1999-12,1,1999-12-01 00:00:00,http://landregistry.data.gov.uk/id/region/charnwood,282.0,246.0,36.0,1.5,1.1,1.5,2.0,2.0,1.7,1.7,14.7,14.8,14.7,15.5,14.2,14.3,14.9,,
http://landregistry.data.gov.uk/data/ukhpi/region/charnwood/month/2000-01,65759,105476,64804.0,38158,81302.0,62482,48892,24.6,25.5,24.6,27.5,24.1,24.2,23.4,2000-01,1,2000-01-01 00:00:00,http://landregistry.data.gov.uk/id/region/charnwood,183.0,174.0,9.0,-1.7,-1.5,-1.7,-2.2,-1.5,-1.7,-1.7,12.3,12.5,12.4,12.5,11.2,11.9,12.5,,
http://landregistry.data.gov.uk/data/ukhpi/region/charnwood/month/2000-02,66277,106407,65272.0,38319,82448.0,62924,49235,24.8,25.7,24.7,27.7,24.4,24.4,23.6,2000-02,1,2000-02-01 00:00:00,http://landregistry.data.gov.uk/id/region/charnwood,184.0,175.0,9.0,0.8,0.9,0.7,0.4,1.4,0.7,0.7,12.0,12.6,12.1,11.9,11.5,11.6,11.9,,
http://landregistry.data.gov.uk/data/ukhpi/region/charnwood/month/2000-03,65753,105680,64765.0,37676,81676.0,62437,48723,24.6,25.6,24.5,27.2,24.2,24.2,23.3,2000-03,1,2000-03-01 00:00:00,http://landregistry.data.gov.uk/id/region/charnwood,267.0,242.0,25.0,-0.8,-0.7,-0.8,-1.7,-0.9,-0.8,-1.0,10.7,11.3,10.8,9.6,10.0,10.3,10.4,,
http://landregistry.data.gov.uk/data/ukhpi/region/charnwood/month/2000-04,67321,107772,66316.0,38763,83511.0,63921,50021,25.2,26.1,25.1,28.0,24.7,24.7,23.9,2000-04,1,2000-04-01 00:00:00,http://landregistry.data.gov.uk/id/region/charnwood,220.0,206.0,14.0,2.4,2.0,2.4,2.9,2.2,2.4,2.7,11.9,12.5,11.9,11.2,12.0,11.5,11.5,,
http://landregistry.data.gov.uk/data/ukhpi/region/charnwood/month/2000-05,67952,108650,66952.0,39199,84011.0,64589,50462,25.5,26.3,25.4,28.3,24.9,25.0,24.1,2000-05,1,2000-05-01 00:00:00,http://landregistry.data.gov.uk/id/region/charnwood,284.0,258.0,26.0,0.9,0.8,1.0,1.1,0.6,1.0,0.9,10.1,10.7,10.1,9.8,10.1,9.8,9.3,,
http://landregistry.data.gov.uk/data/ukhpi/region/charnwood/month/2000-06,69755,111403,68747.0,40459,85918.0,66349,51779,26.1,27.0,26.0,29.2,25.5,25.7,24.8,2000-06,1,2000-06-01 00:00:00,http://landregistry.data.gov.uk/id/region/charnwood,370.0,348.0,22.0,2.7,2.5,2.7,3.2,2.3,2.7,2.6,11.9,12.4,11.9,12.5,11.6,11.8,10.8,,
http://landregistry.data.gov.uk/data/ukhpi/region/charnwood/month/2000-07,71531,114868,70499.0,41242,88071.0,68062,52880,26.8,27.8,26.7,29.8,26.1,26.3,25.3,2000-07,1,2000-07-01 00:00:00,http://landregistry.data.gov.uk/id/region/charnwood,276.0,269.0,7.0,2.5,3.1,2.5,1.9,2.5,2.6,2.1,13.9,14.5,13.9,14.1,13.2,14.0,12.5,,
