_about,average_price,average_price_detached,average_price_existing_property,average_price_flat_maisonette,average_price_new_build,average_price_semi_detached,average_price_terraced,house_price_index,house_price_index_detached,house_price_index_existing_property,house_price_index_flat_maisonette,house_price_index_new_build,house_price_index_semi_detached,house_price_index_terraced,ref_month,ref_period_duration,ref_period_start,ref_region,sales_volume,sales_volume_existing_property,sales_volume_new_build,percentage_change,percentage_change_detached,percentage_change_existing_property,percentage_change_flat_maisonette,percentage_change_new_build,percentage_change_semi_detached,percentage_change_terraced,percentage_annual_change,percentage_annual_change_detached,percentage_annual_change_existing_property,percentage_annual_change_flat_maisonette,percentage_annual_change_new_build,percentage_annual_change_semi_detached,percentage_annual_change_terraced,sales_volume_cash,sales_volume_mortgage
http://landregistry.data.gov.uk/data/ukhpi/region/bridgend/month/1995-01,41127,65640,40862.0,28158,48323.0,39710,31677,21.4,22.0,21.4,25.9,21.7,21.1,20.6,1995-01,1,1995-01-01 00:00:00,http://landregistry.data.gov.uk/id/region/bridgend,108.0,93.0,15.0,,,,,,,,,,,,,,,,
http://landregistry.data.gov.uk/data/ukhpi/region/bridgend/month/1995-02,43131,68443,42773.0,29469,51039.0,41817,33187,22.5,22.9,22.4,27.1,22.9,22.2,21.5,1995-02,1,1995-02-01 00:00:00,http://landregistry.data.gov.uk/id/region/bridgend,110.0,87.0,23.0,4.9,4.3,4.7,4.7,5.6,5.3,4.8,,,,,,,,,
http://landregistry.data.gov.uk/data/ukhpi/region/bridgend/month/1995-03,42654,67509,42283.0,29112,50549.0,41343,32878,22.2,22.6,22.1,26.8,22.7,22.0,21.3,1995-03,1,1995-03-01 00:00:00,http://landregistry.data.gov.uk/id/region/bridgend,154.0,115.0,39.0,-1.1,-1.4,-1.1,-1.2,-1.0,-1.1,-0.9,,,,,,,,,
http://landregistry.data.gov.uk/data/ukhpi/region/bridgend/month/1995-04,43041,67915,42669.0,29378,51000.0,41744,33208,22.4,22.7,22.3,27.0,22.9,22.2,21.6,1995-04,1,1995-04-01 00:00:00,http://landregistry.data.gov.uk/id/region/bridgend,141.0,121.0,20.0,0.9,0.6,0.9,0.9,0.9,1.0,1.0,,,,,,,,,
http://landregistry.data.gov.uk/data/ukhpi/region/bridgend/month/1995-05,42578,67072,42240.0,29013,50310.0,41291,32885,22.2,22.5,22.1,26.7,22.6,22.0,21.3,1995-05,1,1995-05-01 00:00:00,http://landregistry.data.gov.uk/id/region/bridgend,147.0,120.0,27.0,-1.1,-1.2,-1.0,-1.2,-1.4,-1.1,-1.0,,,,,,,,,
http://landregistry.data.gov.uk/data/ukhpi/region/bridgend/month/1995-06,41863,66052,41531.0,28592,49466.0,40656,32253,21.8,22.1,21.7,26.3,22.2,21.6,20.9,1995-06,1,1995-06-01 00:00:00,http://landregistry.data.gov.uk/id/region/bridgend,140.0,104.0,36.0,-1.7,-1.5,-1.7,-1.5,-1.7,-1.5,-1.9,,,,,,,,,
http://landregistry.data.gov.uk/data/ukhpi/region/bridgend/month/1995-07,41828,66156,41497.0,28392,49423.0,40617,32206,21.8,22.2,21.7,26.1,22.2,21.6,20.9,1995-07,1,1995-07-01 00:00:00,http://landregistry.data.gov.uk/id/region/bridgend,142.0,118.0,24.0,-0.1,0.2,-0.1,-0.7,-0.1,-0.1,-0.1,,,,,,,,,
http://landregistry.data.gov.uk/data/ukhpi/region/bridgend/month/1995-08,42009,66824,41678.0,28338,49627.0,40741,32305,21.9,22.4,21.8,26.0,22.3,21.7,21.0,1995-08,1,1995-08-01 00:00:00,http://landregistry.data.gov.uk/id/region/bridgend,152.0,125.0,27.0,0.4,1.0,0.4,-0.2,0.4,0.3,0.3,,,,,,,,,
http://landregistry.data.gov.uk/data/ukhpi/region/bridgend/month/1995-09,43593,69339,43322.0,29262,51181.0,42240,33568,22.7,23.2,22.7,26.9,23.0,22.5,21.8,1995-09,1,1995-09-01 00:00:00,http://landregistry.data.gov.uk/id/region/bridgend,156.0,115.0,41.0,3.8,3.8,3.9,3.3,3.1,3.7,3.9,,,,,,,,,
http://landregistry.data.gov.uk/data/ukhpi/region/bridgend/month/1995-10,44507,70897,44168.0,29983,52532.0,43232,34149,23.2,23.7,23.1,27.6,23.6,23.0,22.2,1995-10,1,1995-10-01 00:00:00,http://landregistry.data.gov.uk/id/region/bridgend,123.0,99.0,24.0,2.1,2.2,2.0,2.5,2.6,2.4,1.7,,,,,,,,,
http://landregistry.data.gov.uk/data/ukhpi/region/bridgend/month/1995-11,45148,71882,44770.0,30671,53443.0,43912,34582,23.5,24.1,23.4,28.2,24.0,23.3,22.4,1995-11,1,1995-11-01 00:00:00,http://landregistry.data.gov.uk/id/region/bridgend,111.0,92.0,19.0,1.4,1.4,1.4,2.3,1.7,1.6,1.3,,,,,,,,,
http://landregistry.data.gov.uk/data/ukhpi/region/bridgend/month/1995-12,42962,68452,42484.0,29201,51382.0,41849,32841,22.4,22.9,22.2,26.8,23.1,22.2,21.3,1995-12,1,1995-12-01 00:00:00,http://landregistry.data.gov.uk/id/region/bridgend,125.0,82.0,43.0,-4.8,-4.8,-5.1,-4.8,-3.9,-4.7,-5.0,,,,,,,,,
http://landregistry.data.gov.uk/data/ukhpi/region/bridgend/month/1996-01,41031,65518,40501.0,27733,49407.0,39957,31352,21.4,21.9,21.2,25.5,22.2,21.2,20.4,1996-01,1,1996-01-01 00:00:00,http://landregistry.data.gov.uk/id/region/bridgend,61.0,46.0,15.0,-4.5,-4.3,-4.7,-5.0,-3.8,-4.5,-4.5,-0.2,-0.2,-0.9,-1.5,2.2,0.6,-1.0,,
http://landregistry.data.gov.uk/data/ukhpi/region/bridgend/month/1996-02,38087,60779,37511.0,25512,46243.0,37144,29099,19.8,20.4,19.6,23.4,20.8,19.7,18.9,1996-02,1,1996-02-01 00:00:00,http://landregistry.data.gov.uk/id/region/bridgend,75.0,51.0,24.0,-7.2,-7.2,-7.4,-8.0,-6.4,-7.0,-7.2,-11.7,-11.2,-12.3,-13.4,-9.4,-11.2,-12.3,,
http://landregistry.data.gov.uk/data/ukhpi/region/bridgend/month/1996-03,38667,61779,38048.0,25804,47107.0,37742,29517,20.1,20.7,19.9,23.7,21.2,20.1,19.2,1996-03,1,1996-03-01 00:00:00,http://landregistry.data.gov.uk/id/region/bridgend,127.0,82.0,45.0,1.5,1.6,1.4,1.1,1.9,1.6,1.4,-9.3,-8.5,-10.0,-11.4,-6.8,-8.7,-10.2,,
http://landregistry.data.gov.uk/data/ukhpi/region/bridgend/month/1996-04,40151,63916,39543.0,26914,48772.0,39129,30795,20.9,21.4,20.7,24.7,21.9,20.8,20.0,1996-04,1,1996-04-01 00:00:00,http://landregistry.data.gov.uk/id/region/bridgend,118.0,94.0,24.0,3.8,3.5,3.9,4.3,3.5,3.7,4.3,-6.7,-5.9,-7.3,-8.4,-4.4,-6.3,-7.3,,
http://landregistry.data.gov.uk/data/ukhpi/region/bridgend/month/1996-05,41789,66391,41253.0,28116,50359.0,40635,32191,21.8,22.2,21.6,25.8,22.6,21.6,20.9,1996-05,1,1996-05-01 00:00:00,http://landregistry.data.gov.uk/id/region/bridgend,146.0,105.0,41.0,4.1,3.9,4.3,4.5,3.3,3.8,4.5,-1.9,-1.0,-2.3,-3.1,0.1,-1.6,-2.1,,
http://landregistry.data.gov.uk/data/ukhpi/region/bridgend/month/1996-06,43668,69357,43142.0,29535,52484.0,42414,33691,22.7,23.2,22.6,27.1,23.6,22.5,21.9,1996-06,1,1996-06-01 00:00:00,http://landregistry.data.gov.uk/id/region/bridgend,140.0,99.0,41.0,4.5,4.5,4.6,5.0,4.2,4.4,4.7,4.3,5.0,3.9,3.3,6.1,4.3,4.5,,
http://landregistry.data.gov.uk/data/ukhpi/region/bridgend/month/1996-07,43274,68883,42789.0,29109,51865.0,42055,33316,22.5,23.1,22.4,26.8,23.3,22.4,21.6,1996-07,1,1996-07-01 00:00:00,http://landregistry.data.gov.uk/id/region/bridgend,130.0,110.0,20.0,-0.9,-0.7,-0.8,-1.4,-1.2,-0.8,-1.1,3.5,4.1,3.1,2.5,4.9,3.5,3.4,,
http://landregistry.data.gov.uk/data/ukhpi/region/bridgend/month/1996-08,43336,69362,42832.0,28952,52016.0,42075,33283,22.6,23.2,22.4,26.6,23.4,22.4,21.6,1996-08,1,1996-08-01 00:00:00,http://landregistry.data.gov.uk/id/region/bridgend,219.0,165.0,54.0,0.1,0.7,0.1,-0.5,0.3,0.0,-0.1,3.2,3.8,2.8,2.2,4.8,3.3,3.0,,
http://landregistry.data.gov.uk/data/ukhpi/region/bridgend/month/1996-09,42341,68024,41902.0,28117,50598.0,41049,32500,22.0,22.8,21.9,25.8,22.7,21.8,21.1,1996-09,1,1996-09-01 00:00:00,http://landregistry.data.gov.uk/id/region/bridgend,138.0,111.0,27.0,-2.3,-1.9,-2.2,-2.9,-2.7,-2.4,-2.4,-2.9,-1.9,-3.3,-3.9,-1.1,-2.8,-3.2,,
http://landregistry.data.gov.uk/data/ukhpi/region/bridgend/month/1996-10,43457,69936,43004.0,28843,51941.0,42136,33310,22.6,23.4,22.5,26.5,23.3,22.4,21.6,1996-10,1,1996-10-01 00:00:00,http://landregistry.data.gov.uk/id/region/bridgend,184.0,159.0,25.0,2.6,2.8,2.6,2.6,2.7,2.6,2.5,-2.4,-1.4,-2.6,-3.8,-1.1,-2.5,-2.5,,
http://landregistry.data.gov.uk/data/ukhpi/region/bridgend/month/1996-11,44612,71608,44153.0,29705,53300.0,43294,34216,23.2,24.0,23.1,27.3,23.9,23.0,22.2,1996-11,1,1996-11-01 00:00:00,http://landregistry.data.gov.uk/id/region/bridgend,217.0,178.0,39.0,2.7,2.4,2.7,3.0,2.6,2.7,2.7,-1.2,-0.4,-1.4,-3.1,-0.3,-1.4,-1.1,,
http://landregistry.data.gov.uk/data/ukhpi/region/bridgend/month/1996-12,45616,72968,45159.0,30337,54448.0,44323,35015,23.7,24.4,23.6,27.9,24.5,23.6,22.7,1996-12,1,1996-12-01 00:00:00,http://landregistry.data.gov.uk/id/region/bridgend,134.0,119.0,15.0,2.2,1.9,2.3,2.1,2.2,2.4,2.3,6.2,6.6,6.3,3.9,6.0,5.9,6.6,,
http://landregistry.data.gov.uk/data/ukhpi/region/bridgend/month/1997-01,45014,71939,44617.0,29891,53510.0,43709,34609,23.4,24.1,23.3,27.5,24.0,23.2,22.5,1997-01,1,1997-01-01 00:00:00,http://landregistry.data.gov.uk/id/region/bridgend,124.0,108.0,16.0,-1.3,-1.4,-1.2,-1.5,-1.7,-1.4,-1.2,9.7,9.8,10.2,7.8,8.3,9.4,10.4,,
http://landregistry.data.gov.uk/data/ukhpi/region/bridgend/month/1997-02,44374,71152,43977.0,29369,52951.0,43103,34019,23.1,23.8,23.0,27.0,23.8,22.9,22.1,1997-02,1,1997-02-01 00:00:00,http://landregistry.data.gov.uk/id/region/bridgend,128.0,115.0,13.0,-1.4,-1.1,-1.4,-1.7,-1.0,-1.4,-1.7,16.5,17.1,17.2,15.1,14.5,16.0,16.9,,
http://landregistry.data.gov.uk/data/ukhpi/region/bridgend/month/1997-03,44366,71287,43949.0,29317,53184.0,43027,34039,23.1,23.9,23.0,26.9,23.9,22.9,22.1,1997-03,1,1997-03-01 00:00:00,http://landregistry.data.gov.uk/id/region/bridgend,164.0,149.0,15.0,0.0,0.2,-0.1,-0.2,0.4,-0.2,0.1,14.7,15.4,15.5,13.6,12.9,14.0,15.3,,
http://landregistry.data.gov.uk/data/ukhpi/region/bridgend/month/1997-04,43728,70082,43289.0,28765,52652.0,42453,33565,22.8,23.5,22.7,26.4,23.7,22.6,21.8,1997-04,1,1997-04-01 00:00:00,http://landregistry.data.gov.uk/id/region/bridgend,121.0,98.0,23.0,-1.4,-1.7,-1.5,-1.9,-1.0,-1.3,-1.4,8.9,9.6,9.5,6.9,8.0,8.5,9.0,,
http://landregistry.data.gov.uk/data/ukhpi/region/bridgend/month/1997-05,43405,69280,43004.0,28439,51974.0,42155,33405,22.6,23.2,22.5,26.1,23.4,22.4,21.7,1997-05,1,1997-05-01 00:00:00,http://landregistry.data.gov.uk/id/region/bridgend,128.0,111.0,17.0,-0.7,-1.1,-0.7,-1.1,-1.3,-0.7,-0.5,3.9,4.4,4.2,1.1,3.2,3.7,3.8,,
http://landregistry.data.gov.uk/data/ukhpi/region/bridgend/month/1997-06,43758,69967,43394.0,28499,52063.0,42525,33611,22.8,23.4,22.7,26.2,23.4,22.6,21.8,1997-06,1,1997-06-01 00:00:00,http://landregistry.data.gov.uk/id/region/bridgend,146.0,127.0,19.0,0.8,1.0,0.9,0.2,0.2,0.9,0.6,0.2,0.9,0.6,-3.5,-0.8,0.3,-0.2,,
http://landregistry.data.gov.uk/data/ukhpi/region/bridgend/month/1997-07,44874,71952,44550.0,29067,52986.0,43554,34477,23.4,24.1,23.3,26.7,23.8,23.2,22.4,1997-07,1,1997-07-01 00:00:00,http://landregistry.data.gov.uk/id/region/bridgend,157.0,133.0,24.0,2.6,2.8,2.7,2.0,1.8,2.4,2.6,3.7,4.5,4.1,-0.1,2.2,3.6,3.5,,
http://landregistry.data.gov.uk/data/ukhpi/region/bridgend/month/1997-08,45475,73219,45181.0,29385,53422.0,44087,34900,23.7,24.5,23.6,27.0,24.0,23.4,22.7,1997-08,1,1997-08-01 00:00:00,http://landregistry.data.gov.uk/id/region/bridgend,131.0,110.0,21.0,1.3,1.8,1.4,1.1,0.8,1.2,1.2,4.9,5.6,5.5,1.5,2.7,4.8,4.9,,
http://landregistry.data.gov.uk/data/ukhpi/region/bridgend/month/1997-09,45033,72550,44746.0,29061,52868.0,43655,34552,23.4,24.3,23.4,26.7,23.8,23.2,22.4,1997-09,1,1997-09-01 00:00:00,http://landregistry.data.gov.uk/id/region/bridgend,133.0,110.0,23.0,-1.0,-0.9,-1.0,-1.1,-1.0,-1.0,-1.0,6.4,6.7,6.8,3.4,4.5,6.3,6.3,,
http://landregistry.data.gov.uk/data/ukhpi/region/bridgend/month/1997-10,45345,73150,45048.0,29338,53305.0,43997,34707,23.6,24.5,23.6,27.0,23.9,23.4,22.5,1997-10,1,1997-10-01 00:00:00,http://landregistry.data.gov.uk/id/region/bridgend,149.0,132.0,17.0,0.7,0.8,0.7,1.0,0.8,0.8,0.5,4.3,4.6,4.8,1.7,2.6,4.4,4.2,,
http://landregistry.data.gov.uk/data/ukhpi/region/bridgend/month/1997-11,45334,73132,45018.0,29311,53435.0,44021,34656,23.6,24.5,23.6,26.9,24.0,23.4,22.5,1997-11,1,1997-11-01 00:00:00,http://landregistry.data.gov.uk/id/region/bridgend,119.0,110.0,9.0,0.0,0.0,-0.1,-0.1,0.2,0.1,-0.1,1.6,2.1,2.0,-1.3,0.3,1.7,1.3,,
http://landregistry.data.gov.uk/data/ukhpi/region/bridgend/month/1997-12,44812,72260,44472.0,28927,53057.0,43584,34189,23.3,24.2,23.3,26.6,23.8,23.2,22.2,1997-12,1,1997-12-01 00:00:00,http://landregistry.data.gov.uk/id/region/bridgend,166.0,152.0,14.0,-1.1,-1.2,-1.2,-1.3,-0.7,-1.0,-1.3,-1.8,-1.0,-1.5,-4.6,-2.6,-1.7,-2.4,,
http://landregistry.data.gov.uk/data/ukhpi/region/bridgend/month/1998-01,44397,71771,44009.0,28572,52979.0,43128,33878,23.1,24.0,23.0,26.3,23.8,22.9,22.0,1998-01,1,1998-01-01 00:00:00,http://landregistry.data.gov.uk/id/region/bridgend,106.0,99.0,7.0,-0.9,-0.7,-1.0,-1.2,-0.1,-1.0,-0.9,-1.4,-0.2,-1.4,-4.4,-1.0,-1.3,-2.1,,
http://landregistry.data.gov.uk/data/ukhpi/region/bridgend/month/1998-02,44956,72568,44497.0,29073,54230.0,43712,34291,23.4,24.3,23.3,26.7,24.4,23.2,22.3,1998-02,1,1998-02-01 00:00:00,http://landregistry.data.gov.uk/id/region/bridgend,131.0,122.0,9.0,1.3,1.1,1.1,1.8,2.4,1.4,1.2,1.3,2.0,1.2,-1.0,2.4,1.4,0.8,,
http://landregistry.data.gov.uk/data/ukhpi/region/bridgend/month/1998-03,46893,75672,46390.0,30272,56806.0,45602,35790,24.4,25.3,24.3,27.8,25.5,24.2,23.2,1998-03,1,1998-03-01 00:00:00,http://landregistry.data.gov.uk/id/region/bridgend,145.0,135.0,10.0,4.3,4.3,4.3,4.1,4.7,4.3,4.4,5.7,6.2,5.6,3.3,6.8,6.0,5.1,,
http://landregistry.data.gov.uk/data/ukhpi/region/bridgend/month/1998-04,47089,75641,46599.0,30425,56874.0,45847,35989,24.5,25.3,24.4,28.0,25.6,24.4,23.4,1998-04,1,1998-04-01 00:00:00,http://landregistry.data.gov.uk/id/region/bridgend,138.0,130.0,8.0,0.4,0.0,0.5,0.5,0.1,0.5,0.6,7.7,7.9,7.6,5.8,8.0,8.0,7.2,,
http://landregistry.data.gov.uk/data/ukhpi/region/bridgend/month/1998-05,45843,73525,45407.0,29465,54944.0,44594,35124,23.9,24.6,23.8,27.1,24.7,23.7,22.8,1998-05,1,1998-05-01 00:00:00,http://landregistry.data.gov.uk/id/region/bridgend,137.0,127.0,10.0,-2.6,-2.8,-2.6,-3.2,-3.4,-2.7,-2.4,5.6,6.1,5.6,3.6,5.7,5.8,5.1,,
http://landregistry.data.gov.uk/data/ukhpi/region/bridgend/month/1998-06,44697,71673,44303.0,28888,53242.0,43411,34301,23.3,24.0,23.2,26.5,23.9,23.1,22.3,1998-06,1,1998-06-01 00:00:00,http://landregistry.data.gov.uk/id/region/bridgend,128.0,113.0,15.0,-2.5,-2.5,-2.4,-2.0,-3.1,-2.7,-2.3,2.1,2.4,2.1,1.4,2.3,2.1,2.1,,
http://landregistry.data.gov.uk/data/ukhpi/region/bridgend/month/1998-07,44390,71368,44004.0,28650,52810.0,43096,34027,23.1,23.9,23.0,26.3,23.7,22.9,22.1,1998-07,1,1998-07-01 00:00:00,http://landregistry.data.gov.uk/id/region/bridgend,199.0,190.0,9.0,-0.7,-0.4,-0.7,-0.8,-0.8,-0.7,-0.8,-1.1,-0.8,-1.2,-1.4,-0.3,-1.1,-1.3,,
http://landregistry.data.gov.uk/data/ukhpi/region/bridgend/month/1998-08,45779,73897,45375.0,29479,54527.0,44394,35055,23.8,24.7,23.7,27.1,24.5,23.6,22.8,1998-08,1,1998-08-01 00:00:00,http://landregistry.data.gov.uk/id/region/bridgend,139.0,129.0,10.0,3.1,3.5,3.1,2.9,3.3,3.0,3.0,0.7,0.9,0.4,0.3,2.1,0.7,0.4,,
http://landregistry.data.gov.uk/data/ukhpi/region/bridgend/month/1998-09,46367,75028,45978.0,29735,55020.0,44933,35491,24.1,25.1,24.1,27.3,24.7,23.9,23.0,1998-09,1,1998-09-01 00:00:00,http://landregistry.data.gov.uk/id/region/bridgend,146.0,122.0,24.0,1.3,1.5,1.3,0.9,0.9,1.2,1.2,3.0,3.4,2.8,2.3,4.1,2.9,2.7,,
http://landregistry.data.gov.uk/data/ukhpi/region/bridgend/month/1998-10,47479,76958,47067.0,30593,56479.0,46020,36281,24.7,25.8,24.6,28.1,25.4,24.5,23.6,1998-10,1,1998-10-01 00:00:00,http://landregistry.data.gov.uk/id/region/bridgend,161.0,142.0,19.0,2.4,2.6,2.4,2.9,2.7,2.4,2.2,4.7,5.2,4.5,4.3,6.0,4.6,4.5,,
http://landregistry.data.gov.uk/data/ukhpi/region/bridgend/month/1998-11,47785,77592,47342.0,30899,57155.0,46402,36384,24.9,26.0,24.8,28.4,25.7,24.7,23.6,1998-11,1,1998-11-01 00:00:00,http://landregistry.data.gov.uk/id/region/bridgend,159.0,131.0,28.0,0.6,0.8,0.6,1.0,1.2,0.8,0.3,5.4,6.1,5.2,5.4,7.0,5.4,5.0,,
http://landregistry.data.gov.uk/data/ukhpi/region/bridgend/month/1998-12,47968,77658,47475.0,31243,57881.0,46682,36478,25.0,26.0,24.8,28.7,26.0,24.8,23.7,1998-12,1,1998-12-01 00:00:00,http://landregistry.data.gov.uk/id/region/bridgend,159.0,131.0,28.0,0.4,0.1,0.3,1.1,1.3,0.6,0.3,7.0,7.5,6.8,8.0,9.1,7.1,6.7,,
http://landregistry.data.gov.uk/data/ukhpi/region/bridgend/month/1999-01,48498,78454,47962.0,31574,58920.0,47251,36849,25.2,26.3,25.1,29.0,26.5,25.1,23.9,1999-01,1,1999-01-01 00:00:00,http://landregistry.data.gov.uk/id/region/bridgend,121.0,103.0,18.0,1.1,1.0,1.0,1.1,1.8,1.2,1.0,9.2,9.3,9.0,10.5,11.2,9.6,8.8,,
http://landregistry.data.gov.uk/data/ukhpi/region/bridgend/month/1999-02,49853,80429,49307.0,32369,60595.0,48613,37926,26.0,26.9,25.8,29.7,27.2,25.8,24.6,1999-02,1,1999-02-01 00:00:00,http://landregistry.data.gov.uk/id/region/bridgend,110.0,85.0,25.0,2.8,2.5,2.8,2.5,2.8,2.9,2.9,10.9,10.8,10.8,11.3,11.7,11.2,10.6,,
http://landregistry.data.gov.uk/data/ukhpi/region/bridgend/month/1999-03,49523,80002,48990.0,32127,60182.0,48289,37658,25.8,26.8,25.6,29.5,27.0,25.7,24.4,1999-03,1,1999-03-01 00:00:00,http://landregistry.data.gov.uk/id/region/bridgend,133.0,119.0,14.0,-0.7,-0.5,-0.6,-0.7,-0.7,-0.7,-0.7,5.6,5.7,5.6,6.1,5.9,5.9,5.2,,
http://landregistry.data.gov.uk/data/ukhpi/region/bridgend/month/1999-04,49580,79722,49118.0,32232,59745.0,48313,37867,25.8,26.7,25.7,29.6,26.8,25.7,24.6,1999-04,1,1999-04-01 00:00:00,http://landregistry.data.gov.uk/id/region/bridgend,161.0,147.0,14.0,0.1,-0.4,0.3,0.3,-0.7,0.1,0.6,5.3,5.4,5.4,5.9,5.0,5.4,5.2,,
http://landregistry.data.gov.uk/data/ukhpi/region/bridgend/month/1999-05,48599,77991,48164.0,31671,58432.0,47308,37214,25.3,26.1,25.2,29.1,26.3,25.2,24.2,1999-05,1,1999-05-01 00:00:00,http://landregistry.data.gov.uk/id/region/bridgend,185.0,161.0,24.0,-2.0,-2.2,-1.9,-1.7,-2.2,-2.1,-1.7,6.0,6.1,6.1,7.5,6.3,6.1,6.0,,
http://landregistry.data.gov.uk/data/ukhpi/region/bridgend/month/1999-06,49380,79172,48963.0,32116,59196.0,48007,37902,25.7,26.5,25.6,29.5,26.6,25.5,24.6,1999-06,1,1999-06-01 00:00:00,http://landregistry.data.gov.uk/id/region/bridgend,148.0,125.0,23.0,1.6,1.5,1.7,1.4,1.3,1.5,1.8,10.5,10.5,10.5,11.2,11.2,10.6,10.5,,
http://landregistry.data.gov.uk/data/ukhpi/region/bridgend/month/1999-07,49365,79451,48942.0,31952,59227.0,47910,37865,25.7,26.6,25.6,29.4,26.6,25.5,24.6,1999-07,1,1999-07-01 00:00:00,http://landregistry.data.gov.uk/id/region/bridgend,188.0,158.0,30.0,0.0,0.4,0.0,-0.5,0.1,-0.2,-0.1,11.2,11.3,11.2,11.5,12.2,11.2,11.3,,
http://landregistry.data.gov.uk/data/ukhpi/region/bridgend/month/1999-08,49242,79389,48853.0,31814,58844.0,47717,37791,25.6,26.6,25.6,29.2,26.4,25.4,24.5,1999-08,1,1999-08-01 00:00:00,http://landregistry.data.gov.uk/id/region/bridgend,178.0,134.0,44.0,-0.2,-0.1,-0.2,-0.4,-0.6,-0.4,-0.2,7.6,7.4,7.7,7.9,7.9,7.5,7.8,,
http://landregistry.data.gov.uk/data/ukhpi/region/bridgend/month/1999-09,48546,78497,48191.0,31332,57813.0,46980,37230,25.3,26.3,25.2,28.8,26.0,25.0,24.2,1999-09,1,1999-09-01 00:00:00,http://landregistry.data.gov.uk/id/region/bridgend,166.0,141.0,25.0,-1.4,-1.1,-1.4,-1.5,-1.8,-1.5,-1.5,4.7,4.6,4.8,5.4,5.1,4.6,4.9,,
http://landregistry.data.gov.uk/data/ukhpi/region/bridgend/month/1999-10,49109,79495,48747.0,31883,58501.0,47601,37540,25.6,26.6,25.5,29.3,26.3,25.3,24.4,1999-10,1,1999-10-01 00:00:00,http://landregistry.data.gov.uk/id/region/bridgend,225.0,185.0,40.0,1.2,1.3,1.2,1.8,1.2,1.3,0.8,3.4,3.3,3.6,4.2,3.6,3.4,3.5,,
http://landregistry.data.gov.uk/data/ukhpi/region/bridgend/month/1999-11,49456,80039,49095.0,32251,58888.0,48012,37731,25.7,26.8,25.7,29.6,26.5,25.5,24.5,1999-11,1,1999-11-01 00:00:00,http://landregistry.data.gov.uk/id/region/bridgend,176.0,140.0,36.0,0.7,0.7,0.7,1.2,0.7,0.9,0.5,3.5,3.2,3.7,4.4,3.0,3.5,3.7,,
http://landregistry.data.gov.uk/data/ukhpi/region/bridgend/month/1999-12,50251,81171,49834.0,32929,60192.0,48834,38335,26.2,27.2,26.1,30.3,27.0,26.0,24.9,1999-12,1,1999-12-01 00:00:00,http://landregistry.data.gov.uk/id/region/bridgend,209.0,181.0,28.0,1.6,1.4,1.5,2.1,2.2,1.7,1.6,4.8,4.5,5.0,5.4,4.0,4.6,5.1,,
http://landregistry.data.gov.uk/data/ukhpi/region/bridgend/month/2000-01,49750,80496,49327.0,32434,59660.0,48359,37907,25.9,27.0,25.8,29.8,26.8,25.7,24.6,2000-01,1,2000-01-01 00:00:00,http://landregistry.data.gov.uk/id/region/bridgend,93.0,86.0,7.0,-1.0,-0.8,-1.0,-1.5,-0.9,-1.0,-1.1,2.6,2.6,2.8,2.7,1.3,2.3,2.9,,
http://landregistry.data.gov.uk/data/ukhpi/region/bridgend/month/2000-02,48895,79327,48424.0,31781,58965.0,47508,37208,25.5,26.6,25.3,29.2,26.5,25.3,24.2,2000-02,1,2000-02-01 00:00:00,http://landregistry.data.gov.uk/id/region/bridgend,140.0,99.0,41.0,-1.7,-1.5,-1.8,-2.0,-1.2,-1.8,-1.8,-1.9,-1.4,-1.8,-1.8,-2.7,-2.3,-1.9,,
http://landregistry.data.gov.uk/data/ukhpi/region/bridgend/month/2000-03,48748,79117,48301.0,31464,58639.0,47447,37057,25.4,26.5,25.3,28.9,26.3,25.2,24.1,2000-03,1,2000-03-01 00:00:00,http://landregistry.data.gov.uk/id/region/bridgend,188.0,150.0,38.0,-0.3,-0.3,-0.3,-1.0,-0.6,-0.1,-0.4,-1.6,-1.1,-1.4,-2.1,-2.6,-1.7,-1.6,,
http://landregistry.data.gov.uk/data/ukhpi/region/bridgend/month/2000-04,49973,80741,49543.0,32542,59959.0,48649,38120,26.0,27.0,25.9,29.9,26.9,25.9,24.7,2000-04,1,2000-04-01 00:00:00,http://landregistry.data.gov.uk/id/region/bridgend,177.0,149.0,28.0,2.5,2.1,2.6,3.4,2.3,2.5,2.9,0.8,1.3,0.9,1.0,0.4,0.7,0.7,,
http://landregistry.data.gov.uk/data/ukhpi/region/bridgend/month/2000-05,50461,81343,50073.0,33069,60294.0,49191,38496,26.3,27.2,26.2,30.4,27.1,26.2,25.0,2000-05,1,2000-05-01 00:00:00,http://landregistry.data.gov.uk/id/region/bridgend,184.0,150.0,34.0,1.0,0.7,1.1,1.6,0.6,1.1,1.0,3.8,4.3,4.0,4.4,3.2,4.0,3.4,,
http://landregistry.data.gov.uk/data/ukhpi/region/bridgend/month/2000-06,50259,80879,49926.0,33193,59771.0,49030,38349,26.2,27.1,26.1,30.5,26.9,26.1,24.9,2000-06,1,2000-06-01 00:00:00,http://landregistry.data.gov.uk/id/region/bridgend,259.0,188.0,71.0,-0.4,-0.6,-0.3,0.4,-0.9,-0.3,-0.4,1.8,2.2,2.0,3.4,1.0,2.1,1.2,,
