_about,average_price,average_price_detached,average_price_existing_property,average_price_flat_maisonette,average_price_new_build,average_price_semi_detached,average_price_terraced,house_price_index,house_price_index_detached,house_price_index_existing_property,house_price_index_flat_maisonette,house_price_index_new_build,house_price_index_semi_detached,house_price_index_terraced,ref_month,ref_period_duration,ref_period_start,ref_region,sales_volume,sales_volume_existing_property,sales_volume_new_build,percentage_change,percentage_change_detached,percentage_change_existing_property,percentage_change_flat_maisonette,percentage_change_new_build,percentage_change_semi_detached,percentage_change_terraced,percentage_annual_change,percentage_annual_change_detached,percentage_annual_change_existing_property,percentage_annual_change_flat_maisonette,percentage_annual_change_new_build,percentage_annual_change_semi_detached,percentage_annual_change_terraced,sales_volume_cash,sales_volume_mortgage
http://landregistry.data.gov.uk/data/ukhpi/region/barnet/month/2019-02,555470,1382413,562503.0,375579,405660.0,732770,545715,86.9,81.8,85.2,91.8,92.5,82.9,83.4,2019-02,1,2019-02-01 00:00:00,http://landregistry.data.gov.uk/id/region/barnet,261.0,183.0,78.0,-0.9,-1.3,-1.4,-0.6,1.1,-1.3,-1.2,-1.5,0.3,-1.3,-2.5,-2.0,-0.1,-0.9,55.0,205.0
http://landregistry.data.gov.uk/data/ukhpi/region/barnet/month/2019-03,547889,1366119,554328.0,369996,402145.0,722710,539967,85.7,80.9,83.9,90.4,91.7,81.8,82.5,2019-03,1,2019-03-01 00:00:00,http://landregistry.data.gov.uk/id/region/barnet,290.0,234.0,56.0,-1.4,-1.2,-1.5,-1.5,-0.9,-1.4,-1.1,-4.0,-1.7,-3.8,-5.0,-4.3,-2.9,-3.3,67.0,223.0
http://landregistry.data.gov.uk/data/ukhpi/region/barnet/month/2019-04,543403,1352276,549384.0,367030,400524.0,715476,537133,85.0,80.0,83.2,89.7,91.3,80.9,82.1,2019-04,1,2019-04-01 00:00:00,http://landregistry.data.gov.uk/id/region/barnet,332.0,234.0,98.0,-0.8,-1.0,-0.9,-0.8,-0.4,-1.0,-0.5,-5.4,-3.4,-5.3,-6.1,-5.1,-4.7,-4.9,77.0,255.0
http://landregistry.data.gov.uk/data/ukhpi/region/barnet/month/2019-05,534695,1326615,541633.0,360245,389704.0,705696,530933,83.6,78.5,82.0,88.1,88.8,79.8,81.1,2019-05,1,2019-05-01 00:00:00,http://landregistry.data.gov.uk/id/region/barnet,335.0,223.0,112.0,-1.6,-1.9,-1.4,-1.8,-2.7,-1.4,-1.2,-5.4,-3.9,-5.6,-6.0,-4.6,-5.0,-5.0,52.0,282.0
http://landregistry.data.gov.uk/data/ukhpi/region/barnet/month/2019-06,543582,1345854,551511.0,366008,392597.0,718249,540311,85.0,79.7,83.5,89.5,89.5,81.2,82.5,2019-06,1,2019-06-01 00:00:00,http://landregistry.data.gov.uk/id/region/barnet,392.0,216.0,176.0,1.7,1.5,1.8,1.6,0.7,1.8,1.8,-2.3,-1.4,-2.4,-2.9,-2.1,-2.0,-1.6,65.0,322.0
http://landregistry.data.gov.uk/data/ukhpi/region/barnet/month/2019-07,545419,1346305,553074.0,367250,395181.0,721406,542193,85.3,79.7,83.8,89.8,90.1,81.6,82.8,2019-07,1,2019-07-01 00:00:00,http://landregistry.data.gov.uk/id/region/barnet,334.0,282.0,52.0,0.3,0.0,0.3,0.3,0.7,0.4,0.3,-1.8,-1.8,-2.0,-2.2,-0.8,-1.4,-0.9,69.0,257.0
http://landregistry.data.gov.uk/data/ukhpi/region/barnet/month/2019-08,560643,1386590,568726.0,376776,405333.0,742413,558621,87.7,82.1,86.1,92.1,92.4,84.0,85.3,2019-08,1,2019-08-01 00:00:00,http://landregistry.data.gov.uk/id/region/barnet,385.0,314.0,71.0,2.8,3.0,2.8,2.6,2.6,2.9,3.0,-1.0,-1.2,-1.0,-1.6,-0.6,-0.5,0.2,84.0,298.0
http://landregistry.data.gov.uk/data/ukhpi/region/barnet/month/2019-09,563119,1397543,570439.0,378450,410387.0,744333,561456,88.1,82.7,86.4,92.5,93.5,84.2,85.8,2019-09,1,2019-09-01 00:00:00,http://landregistry.data.gov.uk/id/region/barnet,298.0,244.0,54.0,0.4,0.8,0.3,0.4,1.2,0.3,0.5,-0.8,-1.0,-1.0,-1.2,0.5,-0.5,0.3,69.0,221.0
http://landregistry.data.gov.uk/data/ukhpi/region/barnet/month/2019-10,563429,1405888,571204.0,377415,408740.0,748153,561502,88.1,83.2,86.5,92.3,93.2,84.6,85.8,2019-10,1,2019-10-01 00:00:00,http://landregistry.data.gov.uk/id/region/barnet,307.0,263.0,44.0,0.1,0.6,0.1,-0.3,-0.4,0.5,0.0,-1.1,-0.8,-1.2,-1.9,-0.8,-0.4,0.0,60.0,240.0
http://landregistry.data.gov.uk/data/ukhpi/region/barnet/month/2019-11,562539,1407638,571380.0,376185,403789.0,749315,559887,88.0,83.3,86.5,92.0,92.0,84.8,85.5,2019-11,1,2019-11-01 00:00:00,http://landregistry.data.gov.uk/id/region/barnet,313.0,273.0,40.0,-0.2,0.1,0.0,-0.3,-1.2,0.2,-0.3,-0.8,-1.0,-0.9,-1.5,-0.6,-0.1,0.0,68.0,239.0
http://landregistry.data.gov.uk/data/ukhpi/region/barnet/month/2019-12,554361,1390502,564354.0,369708,392733.0,740999,552261,86.7,82.3,85.5,90.4,89.5,83.8,84.4,2019-12,1,2019-12-01 00:00:00,http://landregistry.data.gov.uk/id/region/barnet,268.0,195.0,73.0,-1.5,-1.2,-1.2,-1.7,-2.7,-1.1,-1.4,-2.1,-1.6,-1.9,-3.2,-3.3,-1.0,-1.0,44.0,215.0
http://landregistry.data.gov.uk/data/ukhpi/region/barnet/month/2020-01,553336,1386228,562754.0,368881,394325.0,739352,552373,86.5,82.1,85.2,90.2,89.9,83.6,84.4,2020-01,1,2020-01-01 00:00:00,http://landregistry.data.gov.uk/id/region/barnet,242.0,228.0,14.0,-0.2,-0.3,-0.3,-0.2,0.4,-0.2,0.0,-1.3,-1.1,-1.3,-2.4,-1.7,-0.4,0.0,55.0,179.0
http://landregistry.data.gov.uk/data/ukhpi/region/barnet/month/2020-02,548717,1384514,558185.0,365272,394931.0,733663,548731,85.8,82.0,84.5,89.3,90.0,83.0,83.8,2020-02,1,2020-02-01 00:00:00,http://landregistry.data.gov.uk/id/region/barnet,279.0,249.0,30.0,-0.8,-0.1,-0.8,-1.0,0.2,-0.8,-0.7,-1.2,0.2,-0.8,-2.7,-2.6,0.1,0.6,57.0,214.0
http://landregistry.data.gov.uk/data/ukhpi/region/barnet/month/2020-03,553895,1402233,562622.0,368393,403845.0,741314,553686,86.6,83.0,85.2,90.1,92.0,83.9,84.6,2020-03,1,2020-03-01 00:00:00,http://landregistry.data.gov.uk/id/region/barnet,307.0,249.0,58.0,0.9,1.3,0.8,0.9,2.3,1.0,0.9,1.1,2.6,1.5,-0.4,0.4,2.6,2.5,55.0,242.0
http://landregistry.data.gov.uk/data/ukhpi/region/barnet/month/2020-04,562849,1444925,571610.0,373193,410592.0,753606,564247,88.0,85.5,86.6,91.2,93.6,85.2,86.2,2020-04,1,2020-04-01 00:00:00,http://landregistry.data.gov.uk/id/region/barnet,116.0,109.0,7.0,1.6,3.0,1.6,1.3,1.7,1.7,1.9,3.6,6.9,4.0,1.7,2.5,5.3,5.0,26.0,86.0
http://landregistry.data.gov.uk/data/ukhpi/region/barnet/month/2020-05,559968,1436336,566544.0,372294,412782.0,747445,558896,87.6,85.0,85.8,91.0,94.1,84.6,85.4,2020-05,1,2020-05-01 00:00:00,http://landregistry.data.gov.uk/id/region/barnet,83.0,73.0,10.0,-0.5,-0.6,-0.9,-0.2,0.5,-0.8,-0.9,4.7,8.3,4.6,3.3,5.9,5.9,5.3,21.0,60.0
http://landregistry.data.gov.uk/data/ukhpi/region/barnet/month/2020-06,553303,1416241,561446.0,366899,404613.0,741422,554731,86.5,83.8,85.0,89.7,92.2,83.9,84.7,2020-06,1,2020-06-01 00:00:00,http://landregistry.data.gov.uk/id/region/barnet,179.0,171.0,8.0,-1.2,-1.4,-0.9,-1.4,-2.0,-0.8,-0.7,1.8,5.2,1.8,0.2,3.1,3.2,2.7,34.0,143.0
http://landregistry.data.gov.uk/data/ukhpi/region/barnet/month/2020-07,551273,1396385,560638.0,365949,400593.0,738990,553185,86.2,82.7,84.9,89.5,91.3,83.6,84.5,2020-07,1,2020-07-01 00:00:00,http://landregistry.data.gov.uk/id/region/barnet,252.0,207.0,45.0,-0.4,-1.4,-0.1,-0.3,-1.0,-0.3,-0.3,1.1,3.7,1.4,-0.4,1.4,2.4,2.0,60.0,186.0
http://landregistry.data.gov.uk/data/ukhpi/region/barnet/month/2020-08,558856,1420321,570340.0,368870,402105.0,754486,565145,87.4,84.1,86.4,90.2,91.6,85.3,86.3,2020-08,1,2020-08-01 00:00:00,http://landregistry.data.gov.uk/id/region/barnet,269.0,220.0,49.0,1.4,1.7,1.7,0.8,0.4,2.1,2.2,-0.3,2.4,0.3,-2.1,-0.8,1.6,1.2,56.0,205.0
http://landregistry.data.gov.uk/data/ukhpi/region/barnet/month/2020-09,565007,1446312,576570.0,371932,406621.0,764826,572402,88.3,85.6,87.3,90.9,92.7,86.5,87.4,2020-09,1,2020-09-01 00:00:00,http://landregistry.data.gov.uk/id/region/barnet,343.0,276.0,67.0,1.1,1.8,1.1,0.8,1.1,1.4,1.3,0.3,3.5,1.1,-1.7,-0.9,2.8,1.9,61.0,271.0
http://landregistry.data.gov.uk/data/ukhpi/region/barnet/month/2020-10,562925,1447295,576313.0,369067,401454.0,765699,572953,88.0,85.7,87.3,90.2,91.5,86.6,87.5,2020-10,1,2020-10-01 00:00:00,http://landregistry.data.gov.uk/id/region/barnet,364.0,317.0,47.0,-0.4,0.1,0.0,-0.8,-1.3,0.1,0.1,-0.1,2.9,0.9,-2.2,-1.8,2.3,2.0,81.0,269.0
http://landregistry.data.gov.uk/data/ukhpi/region/barnet/month/2020-11,561616,1444271,576799.0,367770,396991.0,764800,572907,87.8,85.5,87.3,89.9,90.5,86.5,87.5,2020-11,1,2020-11-01 00:00:00,http://landregistry.data.gov.uk/id/region/barnet,361.0,324.0,37.0,-0.2,-0.2,0.1,-0.4,-1.1,-0.1,0.0,-0.2,2.6,0.9,-2.2,-1.7,2.1,2.3,75.0,265.0
http://landregistry.data.gov.uk/data/ukhpi/region/barnet/month/2020-12,560354,1441347,576749.0,366389,393702.0,764230,573240,87.6,85.3,87.3,89.6,89.7,86.4,87.6,2020-12,1,2020-12-01 00:00:00,http://landregistry.data.gov.uk/id/region/barnet,446.0,334.0,112.0,-0.2,-0.2,0.0,-0.4,-0.8,-0.1,0.1,1.1,3.7,2.2,-0.9,0.2,3.1,3.8,73.0,316.0
http://landregistry.data.gov.uk/data/ukhpi/region/barnet/month/2021-01,568521,1455747,585565.0,373006,398651.0,772306,579447,88.9,86.2,88.7,91.2,90.9,87.4,88.5,2021-01,1,2021-01-01 00:00:00,http://landregistry.data.gov.uk/id/region/barnet,362.0,329.0,33.0,1.5,1.0,1.5,1.8,1.3,1.1,1.1,2.7,5.0,4.1,1.1,1.1,4.5,4.9,90.0,271.0
http://landregistry.data.gov.uk/data/ukhpi/region/barnet/month/2021-02,571256,1450200,587767.0,376693,402477.0,771368,580151,89.3,85.8,89.0,92.1,91.7,87.3,88.6,2021-02,1,2021-02-01 00:00:00,http://landregistry.data.gov.uk/id/region/barnet,430.0,365.0,65.0,0.5,-0.4,0.4,1.0,1.0,-0.1,0.1,4.1,4.7,5.3,3.1,1.9,5.1,5.7,121.0,309.0
http://landregistry.data.gov.uk/data/ukhpi/region/barnet/month/2021-03,577034,1449453,592814.0,383182,410147.0,772915,583557,90.2,85.8,89.8,93.7,93.5,87.4,89.1,2021-03,1,2021-03-01 00:00:00,http://landregistry.data.gov.uk/id/region/barnet,694.0,608.0,86.0,1.0,-0.1,0.9,1.7,1.9,0.2,0.6,4.2,3.4,5.4,4.0,1.6,4.3,5.4,154.0,536.0
http://landregistry.data.gov.uk/data/ukhpi/region/barnet/month/2021-04,572891,1439106,587678.0,380887,411698.0,765660,579498,89.6,85.2,89.0,93.1,93.8,86.6,88.5,2021-04,1,2021-04-01 00:00:00,http://landregistry.data.gov.uk/id/region/barnet,372.0,346.0,26.0,-0.7,-0.7,-0.9,-0.6,0.4,-0.9,-0.7,1.8,-0.4,2.8,2.1,0.3,1.6,2.7,95.0,277.0
http://landregistry.data.gov.uk/data/ukhpi/region/barnet/month/2021-05,574178,1445620,588957.0,381364,412836.0,767941,580797,89.8,85.6,89.2,93.2,94.1,86.9,88.7,2021-05,1,2021-05-01 00:00:00,http://landregistry.data.gov.uk/id/region/barnet,298.0,257.0,41.0,0.2,0.5,0.2,0.1,0.3,0.3,0.2,2.5,0.6,4.0,2.4,0.0,2.7,3.9,54.0,242.0
http://landregistry.data.gov.uk/data/ukhpi/region/barnet/month/2021-06,582382,1468317,598500.0,385812,413057.0,779347,591304,91.1,86.9,90.6,94.3,94.1,88.2,90.3,2021-06,1,2021-06-01 00:00:00,http://landregistry.data.gov.uk/id/region/barnet,1189.0,1046.0,143.0,1.4,1.6,1.6,1.2,0.1,1.5,1.8,5.3,3.7,6.6,5.2,2.1,5.1,6.6,279.0,905.0
http://landregistry.data.gov.uk/data/ukhpi/region/barnet/month/2021-07,587044,1500721,602798.0,388273,418959.0,785634,593906,91.8,88.8,91.3,94.9,95.5,88.9,90.7,2021-07,1,2021-07-01 00:00:00,http://landregistry.data.gov.uk/id/region/barnet,111.0,78.0,33.0,0.8,2.2,0.7,0.6,1.4,0.8,0.4,6.5,7.5,7.5,6.1,4.6,6.3,7.4,24.0,86.0
http://landregistry.data.gov.uk/data/ukhpi/region/barnet/month/2021-08,604412,1570925,621510.0,396966,426962.0,813684,610800,94.5,93.0,94.1,97.0,97.3,92.0,93.3,2021-08,1,2021-08-01 00:00:00,http://landregistry.data.gov.uk/id/region/barnet,252.0,216.0,36.0,3.0,4.7,3.1,2.2,1.9,3.6,2.8,8.2,10.6,9.0,7.6,6.2,7.8,8.1,58.0,194.0
http://landregistry.data.gov.uk/data/ukhpi/region/barnet/month/2021-09,603347,1586398,620392.0,394562,426324.0,815844,608120,94.3,93.9,93.9,96.5,97.2,92.3,92.9,2021-09,1,2021-09-01 00:00:00,http://landregistry.data.gov.uk/id/region/barnet,606.0,474.0,132.0,-0.2,1.0,-0.2,-0.6,-0.1,0.3,-0.4,6.8,9.7,7.6,6.1,4.8,6.7,6.2,154.0,452.0
http://landregistry.data.gov.uk/data/ukhpi/region/barnet/month/2021-10,609087,1608785,628571.0,395791,418834.0,830762,613919,95.2,95.2,95.2,96.8,95.5,94.0,93.8,2021-10,1,2021-10-01 00:00:00,http://landregistry.data.gov.uk/id/region/barnet,244.0,173.0,71.0,1.0,1.4,1.3,0.3,-1.8,1.8,1.0,8.2,11.2,9.1,7.2,4.3,8.5,7.1,45.0,197.0
http://landregistry.data.gov.uk/data/ukhpi/region/barnet/month/2021-11,608294,1607259,627569.0,395181,419189.0,829930,613087,95.1,95.1,95.0,96.6,95.5,93.9,93.7,2021-11,1,2021-11-01 00:00:00,http://landregistry.data.gov.uk/id/region/barnet,294.0,265.0,29.0,-0.1,-0.1,-0.2,-0.2,0.1,-0.1,-0.1,8.3,11.3,8.8,7.5,5.6,8.5,7.0,69.0,222.0
http://landregistry.data.gov.uk/data/ukhpi/region/barnet/month/2021-12,615292,1632725,635489.0,398332,420618.0,842545,620398,96.2,96.6,96.2,97.4,95.9,95.3,94.8,2021-12,1,2021-12-01 00:00:00,http://landregistry.data.gov.uk/id/region/barnet,350.0,263.0,87.0,1.2,1.6,1.3,0.8,0.3,1.5,1.2,9.8,13.3,10.2,8.7,6.8,10.2,8.2,89.0,256.0
http://landregistry.data.gov.uk/data/ukhpi/region/barnet/month/2022-01,616863,1632360,637174.0,398570,421388.0,845644,624393,96.5,96.6,96.5,97.4,96.0,95.7,95.4,2022-01,1,2022-01-01 00:00:00,http://landregistry.data.gov.uk/id/region/barnet,269.0,242.0,27.0,0.3,0.0,0.3,0.1,0.2,0.4,0.6,8.5,12.1,8.8,6.9,5.7,9.5,7.8,79.0,189.0
http://landregistry.data.gov.uk/data/ukhpi/region/barnet/month/2022-02,617716,1627425,637907.0,399887,423853.0,845759,625186,96.6,96.3,96.6,97.8,96.6,95.7,95.5,2022-02,1,2022-02-01 00:00:00,http://landregistry.data.gov.uk/id/region/barnet,347.0,271.0,76.0,0.1,-0.3,0.1,0.3,0.6,0.0,0.1,8.1,12.2,8.5,6.2,5.3,9.6,7.8,74.0,271.0
http://landregistry.data.gov.uk/data/ukhpi/region/barnet/month/2022-03,617685,1632243,637091.0,399709,428499.0,846635,623900,96.6,96.6,96.5,97.7,97.7,95.8,95.3,2022-03,1,2022-03-01 00:00:00,http://landregistry.data.gov.uk/id/region/barnet,456.0,352.0,104.0,0.0,0.3,-0.1,0.0,1.1,0.1,-0.2,7.0,12.6,7.5,4.3,4.5,9.5,6.9,98.0,350.0
http://landregistry.data.gov.uk/data/ukhpi/region/barnet/month/2022-04,625647,1650731,645110.0,405082,435241.0,856366,632847,97.8,97.7,97.7,99.0,99.2,96.9,96.7,2022-04,1,2022-04-01 00:00:00,http://landregistry.data.gov.uk/id/region/barnet,321.0,274.0,47.0,1.3,1.1,1.3,1.3,1.6,1.1,1.4,9.2,14.7,9.8,6.4,5.7,11.8,9.2,84.0,235.0
http://landregistry.data.gov.uk/data/ukhpi/region/barnet/month/2022-05,623219,1647455,643384.0,401821,428577.0,856051,632410,97.5,97.5,97.4,98.2,97.7,96.8,96.6,2022-05,1,2022-05-01 00:00:00,http://landregistry.data.gov.uk/id/region/barnet,376.0,311.0,65.0,-0.4,-0.2,-0.3,-0.8,-1.5,0.0,-0.1,8.5,14.0,9.2,5.4,3.8,11.5,8.9,84.0,288.0
http://landregistry.data.gov.uk/data/ukhpi/region/barnet/month/2022-06,633598,1670846,654614.0,408500,432432.0,869440,644603,99.1,98.9,99.1,99.9,98.6,98.4,98.5,2022-06,1,2022-06-01 00:00:00,http://landregistry.data.gov.uk/id/region/barnet,462.0,320.0,142.0,1.7,1.4,1.7,1.7,0.9,1.6,1.9,8.8,13.8,9.4,5.9,4.7,11.6,9.0,96.0,352.0
http://landregistry.data.gov.uk/data/ukhpi/region/barnet/month/2022-07,632847,1668327,654072.0,406814,430445.0,870452,645964,99.0,98.8,99.0,99.4,98.1,98.5,98.7,2022-07,1,2022-07-01 00:00:00,http://landregistry.data.gov.uk/id/region/barnet,377.0,339.0,38.0,-0.1,-0.2,-0.1,-0.4,-0.5,0.1,0.2,7.8,11.2,8.5,4.8,2.7,10.8,8.8,67.0,301.0
http://landregistry.data.gov.uk/data/ukhpi/region/barnet/month/2022-08,643459,1692889,665186.0,412667,436746.0,886238,659552,100.6,100.2,100.7,100.9,99.5,100.3,100.8,2022-08,1,2022-08-01 00:00:00,http://landregistry.data.gov.uk/id/region/barnet,366.0,319.0,47.0,1.7,1.5,1.7,1.4,1.5,1.8,2.1,6.5,7.8,7.0,4.0,2.3,8.9,8.0,79.0,282.0
http://landregistry.data.gov.uk/data/ukhpi/region/barnet/month/2022-09,638764,1686200,660722.0,407911,431135.0,882451,656848,99.9,99.8,100.1,99.7,98.3,99.8,100.3,2022-09,1,2022-09-01 00:00:00,http://landregistry.data.gov.uk/id/region/barnet,399.0,350.0,49.0,-0.7,-0.4,-0.7,-1.2,-1.3,-0.4,-0.4,5.9,6.3,6.5,3.4,1.1,8.2,8.0,83.0,304.0
http://landregistry.data.gov.uk/data/ukhpi/region/barnet/month/2022-10,645194,1704538,667610.0,411870,433994.0,891738,663294,100.9,100.9,101.1,100.7,98.9,100.9,101.3,2022-10,1,2022-10-01 00:00:00,http://landregistry.data.gov.uk/id/region/barnet,353.0,303.0,50.0,1.0,1.1,1.0,1.0,0.7,1.1,1.0,5.9,6.0,6.2,4.1,3.6,7.3,8.0,76.0,264.0
http://landregistry.data.gov.uk/data/ukhpi/region/barnet/month/2022-11,640820,1698103,662795.0,408955,432860.0,886003,657896,100.2,100.5,100.4,100.0,98.7,100.2,100.5,2022-11,1,2022-11-01 00:00:00,http://landregistry.data.gov.uk/id/region/barnet,391.0,325.0,66.0,-0.7,-0.4,-0.7,-0.7,-0.3,-0.6,-0.8,5.3,5.7,5.6,3.5,3.3,6.8,7.3,94.0,265.0
http://landregistry.data.gov.uk/data/ukhpi/region/barnet/month/2022-12,643883,1700545,665789.0,411753,436018.0,888828,660703,100.7,100.7,100.8,100.7,99.4,100.5,100.9,2022-12,1,2022-12-01 00:00:00,http://landregistry.data.gov.uk/id/region/barnet,369.0,284.0,85.0,0.5,0.1,0.5,0.7,0.7,0.3,0.4,4.6,4.2,4.8,3.4,3.7,5.5,6.5,74.0,257.0
http://landregistry.data.gov.uk/data/ukhpi/region/barnet/month/2023-01,639514,1689327,660370.0,409078,438768.0,884026,654584,100.0,100.0,100.0,100.0,100.0,100.0,100.0,2023-01,1,2023-01-01 00:00:00,http://landregistry.data.gov.uk/id/region/barnet,254.0,217.0,37.0,-0.7,-0.7,-0.8,-0.6,0.6,-0.5,-0.9,3.7,3.5,3.6,2.6,4.1,4.5,4.8,74.0,168.0
http://landregistry.data.gov.uk/data/ukhpi/region/barnet/month/2023-02,639190,1683667,659169.0,410076,444710.0,882414,652328,99.9,99.7,99.8,100.2,101.4,99.8,99.7,2023-02,1,2023-02-01 00:00:00,http://landregistry.data.gov.uk/id/region/barnet,205.0,192.0,13.0,-0.1,-0.3,-0.2,0.2,1.4,-0.2,-0.3,3.5,3.5,3.3,2.5,4.9,4.3,4.3,48.0,147.0
http://landregistry.data.gov.uk/data/ukhpi/region/barnet/month/2023-03,630148,1667091,648448.0,404843,448427.0,870575,639131,98.5,98.7,98.2,99.0,102.2,98.5,97.6,2023-03,1,2023-03-01 00:00:00,http://landregistry.data.gov.uk/id/region/barnet,251.0,227.0,24.0,-1.4,-1.0,-1.6,-1.3,0.8,-1.3,-2.0,2.0,2.1,1.8,1.3,4.7,2.8,2.4,71.0,160.0
http://landregistry.data.gov.uk/data/ukhpi/region/barnet/month/2023-04,621364,1648220,638986.0,399785,445643.0,856448,629374,97.2,97.6,96.8,97.7,101.6,96.9,96.1,2023-04,1,2023-04-01 00:00:00,http://landregistry.data.gov.uk/id/region/barnet,172.0,150.0,22.0,-1.4,-1.1,-1.5,-1.2,-0.6,-1.6,-1.5,-0.7,-0.2,-0.9,-1.3,2.4,0.0,-0.5,48.0,112.0
http://landregistry.data.gov.uk/data/ukhpi/region/barnet/month/2023-05,614497,1628765,631803.0,395865,441710.0,845711,622264,96.1,96.4,95.7,96.8,100.7,95.7,95.1,2023-05,1,2023-05-01 00:00:00,http://landregistry.data.gov.uk/id/region/barnet,230.0,174.0,56.0,-1.1,-1.2,-1.1,-1.0,-0.9,-1.3,-1.1,-1.4,-1.1,-1.8,-1.5,3.1,-1.2,-1.6,91.0,127.0
http://landregistry.data.gov.uk/data/ukhpi/region/barnet/month/2023-06,617569,1641613,635699.0,396887,437887.0,848910,628925,96.6,97.2,96.3,97.0,99.8,96.0,96.1,2023-06,1,2023-06-01 00:00:00,http://landregistry.data.gov.uk/id/region/barnet,244.0,207.0,37.0,0.5,0.8,0.6,0.3,-0.9,0.4,1.1,-2.5,-1.7,-2.9,-2.8,1.3,-2.4,-2.4,84.0,142.0
http://landregistry.data.gov.uk/data/ukhpi/region/barnet/month/2023-07,623461,1653389,641893.0,399983,441005.0,857944,637180,97.5,97.9,97.2,97.8,100.5,97.0,97.3,2023-07,1,2023-07-01 00:00:00,http://landregistry.data.gov.uk/id/region/barnet,241.0,231.0,10.0,1.0,0.7,1.0,0.8,0.7,1.1,1.3,-1.5,-0.9,-1.9,-1.7,2.5,-1.4,-1.4,59.0,174.0
http://landregistry.data.gov.uk/data/ukhpi/region/barnet/month/2023-08,625854,1671443,644792.0,399532,439131.0,863287,642156,97.9,98.9,97.6,97.7,100.1,97.7,98.1,2023-08,1,2023-08-01 00:00:00,http://landregistry.data.gov.uk/id/region/barnet,260.0,250.0,10.0,0.4,1.1,0.5,-0.1,-0.4,0.6,0.8,-2.7,-1.3,-3.1,-3.2,0.5,-2.6,-2.6,80.0,164.0
http://landregistry.data.gov.uk/data/ukhpi/region/barnet/month/2023-09,622619,1656413,641338.0,397105,437837.0,860483,639650,97.4,98.1,97.1,97.1,99.8,97.3,97.7,2023-09,1,2023-09-01 00:00:00,http://landregistry.data.gov.uk/id/region/barnet,257.0,242.0,15.0,-0.5,-0.9,-0.5,-0.6,-0.3,-0.3,-0.4,-2.5,-1.8,-2.9,-2.6,1.6,-2.5,-2.6,76.0,173.0
http://landregistry.data.gov.uk/data/ukhpi/region/barnet/month/2023-10,616306,1632931,634566.0,394039,435630.0,850685,632250,96.4,96.7,96.1,96.3,99.3,96.2,96.6,2023-10,1,2023-10-01 00:00:00,http://landregistry.data.gov.uk/id/region/barnet,231.0,213.0,18.0,-1.0,-1.4,-1.1,-0.8,-0.5,-1.1,-1.2,-4.5,-4.2,-4.9,-4.3,0.4,-4.6,-4.7,71.0,148.0
http://landregistry.data.gov.uk/data/ukhpi/region/barnet/month/2023-11,620681,1639042,638527.0,397827,443173.0,856983,634007,97.1,97.0,96.7,97.2,101.0,96.9,96.9,2023-11,1,2023-11-01 00:00:00,http://landregistry.data.gov.uk/id/region/barnet,289.0,267.0,22.0,0.7,0.4,0.6,1.0,1.7,0.7,0.3,-3.1,-3.5,-3.7,-2.7,2.4,-3.3,-3.6,89.0,178.0
http://landregistry.data.gov.uk/data/ukhpi/region/barnet/month/2023-12,614915,1613150,632448.0,395252,440249.0,847853,627539,96.2,95.5,95.8,96.6,100.3,95.9,95.9,2023-12,1,2023-12-01 00:00:00,http://landregistry.data.gov.uk/id/region/barnet,217.0,204.0,13.0,-0.9,-1.6,-1.0,-0.6,-0.7,-1.1,-1.0,-4.5,-5.1,-5.0,-4.0,1.0,-4.6,-5.0,62.0,140.0
http://landregistry.data.gov.uk/data/ukhpi/region/barnet/month/2024-01,611415,1604962,628842.0,392499,437804.0,843727,624812,95.6,95.0,95.2,95.9,99.8,95.4,95.5,2024-01,1,2024-01-01 00:00:00,http://landregistry.data.gov.uk/id/region/barnet,232.0,222.0,10.0,-0.6,-0.5,-0.6,-0.7,-0.6,-0.5,-0.4,-4.4,-5.0,-4.8,-4.1,-0.2,-4.6,-4.5,69.0,153.0
http://landregistry.data.gov.uk/data/ukhpi/region/barnet/month/2024-02,598511,1563131,615522.0,384475,429183.0,825110,613192,93.6,92.5,93.2,94.0,97.8,93.3,93.7,2024-02,1,2024-02-01 00:00:00,http://landregistry.data.gov.uk/id/region/barnet,235.0,223.0,12.0,-2.1,-2.6,-2.1,-2.0,-2.0,-2.2,-1.9,-6.4,-7.2,-6.6,-6.2,-3.5,-6.5,-6.0,50.0,162.0
http://landregistry.data.gov.uk/data/ukhpi/region/barnet/month/2024-03,603844,1582001,620490.0,388836,437739.0,830008,616968,94.4,93.6,94.0,95.1,99.8,93.9,94.3,2024-03,1,2024-03-01 00:00:00,http://landregistry.data.gov.uk/id/region/barnet,249.0,234.0,15.0,0.9,1.2,0.8,1.1,2.0,0.6,0.6,-4.2,-5.1,-4.3,-4.0,-2.4,-4.7,-3.5,70.0,154.0
http://landregistry.data.gov.uk/data/ukhpi/region/barnet/month/2024-04,608554,1595293,625469.0,392423,439248.0,835442,620737,95.2,94.4,94.7,95.9,100.1,94.5,94.8,2024-04,1,2024-04-01 00:00:00,http://landregistry.data.gov.uk/id/region/barnet,232.0,223.0,9.0,0.8,0.8,0.8,0.9,0.3,0.7,0.6,-2.1,-3.2,-2.1,-1.8,-1.4,-2.5,-1.4,70.0,145.0
