_about,average_price,average_price_detached,average_price_existing_property,average_price_flat_maisonette,average_price_new_build,average_price_semi_detached,average_price_terraced,house_price_index,house_price_index_detached,house_price_index_existing_property,house_price_index_flat_maisonette,house_price_index_new_build,house_price_index_semi_detached,house_price_index_terraced,ref_month,ref_period_duration,ref_period_start,ref_region,sales_volume,sales_volume_existing_property,sales_volume_new_build,percentage_change,percentage_change_detached,percentage_change_existing_property,percentage_change_flat_maisonette,percentage_change_new_build,percentage_change_semi_detached,percentage_change_terraced,percentage_annual_change,percentage_annual_change_detached,percentage_annual_change_existing_property,percentage_annual_change_flat_maisonette,percentage_annual_change_new_build,percentage_annual_change_semi_detached,percentage_annual_change_terraced,sales_volume_cash,sales_volume_mortgage
http://landregistry.data.gov.uk/data/ukhpi/region/bromsgrove/month/1995-01,64474,102788,64690.0,38407,86182.0,59884,48669,19.4,19.7,19.5,24.0,19.6,18.8,18.6,1995-01,1,1995-01-01 00:00:00,http://landregistry.data.gov.uk/id/region/bromsgrove,74.0,63.0,11.0,,,,,,,,,,,,,,,,
http://landregistry.data.gov.uk/data/ukhpi/region/bromsgrove/month/1995-02,67371,106466,67574.0,40333,90166.0,62958,51259,20.3,20.4,20.4,25.2,20.5,19.7,19.5,1995-02,1,1995-02-01 00:00:00,http://landregistry.data.gov.uk/id/region/bromsgrove,78.0,66.0,12.0,4.5,3.6,4.5,5.0,4.6,5.1,5.3,,,,,,,,,
http://landregistry.data.gov.uk/data/ukhpi/region/bromsgrove/month/1995-03,66518,104961,66681.0,39737,89220.0,62175,50787,20.0,20.1,20.1,24.8,20.3,19.5,19.4,1995-03,1,1995-03-01 00:00:00,http://landregistry.data.gov.uk/id/region/bromsgrove,113.0,82.0,31.0,-1.3,-1.4,-1.3,-1.5,-1.0,-1.2,-0.9,,,,,,,,,
http://landregistry.data.gov.uk/data/ukhpi/region/bromsgrove/month/1995-04,68463,107660,68659.0,40997,91681.0,64121,52453,20.6,20.6,20.7,25.6,20.8,20.1,20.0,1995-04,1,1995-04-01 00:00:00,http://landregistry.data.gov.uk/id/region/bromsgrove,94.0,83.0,11.0,2.9,2.6,3.0,3.2,2.8,3.1,3.3,,,,,,,,,
http://landregistry.data.gov.uk/data/ukhpi/region/bromsgrove/month/1995-05,67308,105827,67557.0,40257,89848.0,63069,51562,20.3,20.2,20.4,25.1,20.4,19.8,19.7,1995-05,1,1995-05-01 00:00:00,http://landregistry.data.gov.uk/id/region/bromsgrove,113.0,105.0,8.0,-1.7,-1.7,-1.6,-1.8,-2.0,-1.6,-1.7,,,,,,,,,
http://landregistry.data.gov.uk/data/ukhpi/region/bromsgrove/month/1995-06,68432,107567,68737.0,41112,91087.0,64213,52263,20.6,20.6,20.7,25.7,20.7,20.1,19.9,1995-06,1,1995-06-01 00:00:00,http://landregistry.data.gov.uk/id/region/bromsgrove,108.0,87.0,21.0,1.7,1.6,1.7,2.1,1.4,1.8,1.4,,,,,,,,,
http://landregistry.data.gov.uk/data/ukhpi/region/bromsgrove/month/1995-07,67615,106506,67907.0,40374,90043.0,63401,51549,20.4,20.4,20.5,25.2,20.5,19.9,19.6,1995-07,1,1995-07-01 00:00:00,http://landregistry.data.gov.uk/id/region/bromsgrove,139.0,110.0,29.0,-1.2,-1.0,-1.2,-1.8,-1.1,-1.3,-1.4,,,,,,,,,
http://landregistry.data.gov.uk/data/ukhpi/region/bromsgrove/month/1995-08,67498,106842,67746.0,39992,90110.0,63095,51282,20.3,20.4,20.4,25.0,20.5,19.8,19.5,1995-08,1,1995-08-01 00:00:00,http://landregistry.data.gov.uk/id/region/bromsgrove,124.0,88.0,36.0,-0.2,0.3,-0.2,-0.9,0.1,-0.5,-0.5,,,,,,,,,
http://landregistry.data.gov.uk/data/ukhpi/region/bromsgrove/month/1995-09,66967,106232,67281.0,39422,89056.0,62532,50810,20.2,20.3,20.3,24.6,20.2,19.6,19.4,1995-09,1,1995-09-01 00:00:00,http://landregistry.data.gov.uk/id/region/bromsgrove,132.0,101.0,31.0,-0.8,-0.6,-0.7,-1.4,-1.2,-0.9,-0.9,,,,,,,,,
http://landregistry.data.gov.uk/data/ukhpi/region/bromsgrove/month/1995-10,67084,106421,67361.0,39654,89407.0,62712,50747,20.2,20.3,20.3,24.8,20.3,19.7,19.3,1995-10,1,1995-10-01 00:00:00,http://landregistry.data.gov.uk/id/region/bromsgrove,116.0,100.0,16.0,0.2,0.2,0.1,0.6,0.4,0.3,-0.1,,,,,,,,,
http://landregistry.data.gov.uk/data/ukhpi/region/bromsgrove/month/1995-11,67152,106405,67388.0,39944,89704.0,62834,50758,20.2,20.3,20.3,24.9,20.4,19.7,19.3,1995-11,1,1995-11-01 00:00:00,http://landregistry.data.gov.uk/id/region/bromsgrove,125.0,92.0,33.0,0.1,0.0,0.0,0.7,0.3,0.2,0.0,,,,,,,,,
http://landregistry.data.gov.uk/data/ukhpi/region/bromsgrove/month/1995-12,66526,105190,66645.0,39646,89455.0,62307,50418,20.1,20.1,20.1,24.8,20.3,19.5,19.2,1995-12,1,1995-12-01 00:00:00,http://landregistry.data.gov.uk/id/region/bromsgrove,131.0,94.0,37.0,-0.9,-1.1,-1.1,-0.7,-0.3,-0.8,-0.7,,,,,,,,,
http://landregistry.data.gov.uk/data/ukhpi/region/bromsgrove/month/1996-01,67101,106427,67028.0,39605,91234.0,62676,50878,20.2,20.4,20.2,24.7,20.7,19.6,19.4,1996-01,1,1996-01-01 00:00:00,http://landregistry.data.gov.uk/id/region/bromsgrove,70.0,65.0,5.0,0.9,1.2,0.6,-0.1,2.0,0.6,0.9,4.1,3.5,3.6,3.1,5.9,4.7,4.5,,
http://landregistry.data.gov.uk/data/ukhpi/region/bromsgrove/month/1996-02,67146,106572,66928.0,39312,92009.0,62743,50938,20.2,20.4,20.2,24.5,20.9,19.7,19.4,1996-02,1,1996-02-01 00:00:00,http://landregistry.data.gov.uk/id/region/bromsgrove,106.0,87.0,19.0,0.1,0.1,-0.2,-0.7,0.9,0.1,0.1,-0.3,0.1,-1.0,-2.5,2.0,-0.3,-0.6,,
http://landregistry.data.gov.uk/data/ukhpi/region/bromsgrove/month/1996-03,67629,107693,67303.0,39331,93089.0,63159,51083,20.4,20.6,20.3,24.6,21.1,19.8,19.5,1996-03,1,1996-03-01 00:00:00,http://landregistry.data.gov.uk/id/region/bromsgrove,130.0,113.0,17.0,0.7,1.1,0.6,0.0,1.2,0.7,0.3,1.7,2.6,0.9,-1.0,4.3,1.6,0.6,,
http://landregistry.data.gov.uk/data/ukhpi/region/bromsgrove/month/1996-04,65691,104386,65424.0,38307,90030.0,61427,49747,19.8,20.0,19.7,23.9,20.5,19.2,19.0,1996-04,1,1996-04-01 00:00:00,http://landregistry.data.gov.uk/id/region/bromsgrove,95.0,76.0,19.0,-2.9,-3.1,-2.8,-2.6,-3.3,-2.7,-2.6,-4.0,-3.0,-4.7,-6.6,-1.8,-4.2,-5.2,,
http://landregistry.data.gov.uk/data/ukhpi/region/bromsgrove/month/1996-05,67024,106295,66886.0,39200,90820.0,62693,50968,20.2,20.3,20.2,24.5,20.6,19.6,19.4,1996-05,1,1996-05-01 00:00:00,http://landregistry.data.gov.uk/id/region/bromsgrove,142.0,113.0,29.0,2.0,1.8,2.2,2.3,0.9,2.1,2.5,-0.4,0.4,-1.0,-2.6,1.1,-0.6,-1.2,,
http://landregistry.data.gov.uk/data/ukhpi/region/bromsgrove/month/1996-06,68128,107962,68016.0,40086,92098.0,63675,51917,20.5,20.6,20.5,25.0,20.9,20.0,19.8,1996-06,1,1996-06-01 00:00:00,http://landregistry.data.gov.uk/id/region/bromsgrove,137.0,118.0,19.0,1.6,1.6,1.7,2.3,1.4,1.6,1.9,-0.4,0.4,-1.0,-2.5,1.1,-0.8,-0.7,,
http://landregistry.data.gov.uk/data/ukhpi/region/bromsgrove/month/1996-07,69301,110010,69199.0,40537,93584.0,64750,52682,20.9,21.0,20.9,25.3,21.3,20.3,20.1,1996-07,1,1996-07-01 00:00:00,http://landregistry.data.gov.uk/id/region/bromsgrove,144.0,125.0,19.0,1.7,1.9,1.7,1.1,1.6,1.7,1.5,2.5,3.3,1.9,0.4,3.9,2.1,2.2,,
http://landregistry.data.gov.uk/data/ukhpi/region/bromsgrove/month/1996-08,68784,109696,68623.0,39876,93347.0,64094,52038,20.7,21.0,20.7,24.9,21.2,20.1,19.8,1996-08,1,1996-08-01 00:00:00,http://landregistry.data.gov.uk/id/region/bromsgrove,177.0,147.0,30.0,-0.7,-0.3,-0.8,-1.6,-0.3,-1.0,-1.2,1.9,2.7,1.3,-0.3,3.6,1.6,1.5,,
http://landregistry.data.gov.uk/data/ukhpi/region/bromsgrove/month/1996-09,69001,110418,68833.0,39549,93688.0,64162,52096,20.8,21.1,20.8,24.7,21.3,20.1,19.9,1996-09,1,1996-09-01 00:00:00,http://landregistry.data.gov.uk/id/region/bromsgrove,117.0,105.0,12.0,0.3,0.7,0.3,-0.8,0.4,0.1,0.1,3.0,3.9,2.3,0.3,5.2,2.6,2.5,,
http://landregistry.data.gov.uk/data/ukhpi/region/bromsgrove/month/1996-10,69380,111114,69223.0,39679,94117.0,64524,52282,20.9,21.2,20.9,24.8,21.4,20.2,19.9,1996-10,1,1996-10-01 00:00:00,http://landregistry.data.gov.uk/id/region/bromsgrove,167.0,149.0,18.0,0.6,0.6,0.6,0.3,0.5,0.6,0.4,3.4,4.4,2.8,0.1,5.3,2.9,3.0,,
http://landregistry.data.gov.uk/data/ukhpi/region/bromsgrove/month/1996-11,69131,110498,68999.0,39736,93590.0,64371,52171,20.8,21.1,20.8,24.8,21.3,20.2,19.9,1996-11,1,1996-11-01 00:00:00,http://landregistry.data.gov.uk/id/region/bromsgrove,196.0,162.0,34.0,-0.4,-0.6,-0.3,0.1,-0.6,-0.2,-0.2,2.9,3.8,2.4,-0.5,4.3,2.4,2.8,,
http://landregistry.data.gov.uk/data/ukhpi/region/bromsgrove/month/1996-12,68889,109765,68822.0,39658,92763.0,64361,52066,20.8,21.0,20.8,24.8,21.1,20.2,19.8,1996-12,1,1996-12-01 00:00:00,http://landregistry.data.gov.uk/id/region/bromsgrove,145.0,123.0,22.0,-0.4,-0.7,-0.3,-0.2,-0.9,0.0,-0.2,3.6,4.3,3.3,0.0,3.7,3.3,3.3,,
http://landregistry.data.gov.uk/data/ukhpi/region/bromsgrove/month/1997-01,70918,112970,70884.0,40750,95225.0,66223,53727,21.4,21.6,21.4,25.4,21.6,20.8,20.5,1997-01,1,1997-01-01 00:00:00,http://landregistry.data.gov.uk/id/region/bromsgrove,147.0,129.0,18.0,2.9,2.9,3.0,2.8,2.7,2.9,3.2,5.7,6.1,5.8,2.9,4.4,5.7,5.6,,
http://landregistry.data.gov.uk/data/ukhpi/region/bromsgrove/month/1997-02,72956,116467,72879.0,41833,98550.0,68043,55108,22.0,22.3,22.0,26.1,22.4,21.3,21.0,1997-02,1,1997-02-01 00:00:00,http://landregistry.data.gov.uk/id/region/bromsgrove,105.0,88.0,17.0,2.9,3.1,2.8,2.7,3.5,2.7,2.6,8.7,9.3,8.9,6.4,7.1,8.4,8.2,,
http://landregistry.data.gov.uk/data/ukhpi/region/bromsgrove/month/1997-03,73244,117069,73099.0,42041,99689.0,68106,55376,22.1,22.4,22.1,26.2,22.6,21.3,21.1,1997-03,1,1997-03-01 00:00:00,http://landregistry.data.gov.uk/id/region/bromsgrove,122.0,103.0,19.0,0.4,0.5,0.3,0.5,1.2,0.1,0.5,8.3,8.7,8.6,6.9,7.1,7.8,8.4,,
http://landregistry.data.gov.uk/data/ukhpi/region/bromsgrove/month/1997-04,72058,114982,71882.0,41366,98539.0,67112,54493,21.7,22.0,21.7,25.8,22.4,21.0,20.8,1997-04,1,1997-04-01 00:00:00,http://landregistry.data.gov.uk/id/region/bromsgrove,154.0,141.0,13.0,-1.6,-1.8,-1.7,-1.6,-1.2,-1.5,-1.6,9.7,10.2,9.9,8.0,9.5,9.3,9.5,,
http://landregistry.data.gov.uk/data/ukhpi/region/bromsgrove/month/1997-05,71748,114295,71590.0,40930,97867.0,66973,54314,21.6,21.9,21.6,25.6,22.2,21.0,20.7,1997-05,1,1997-05-01 00:00:00,http://landregistry.data.gov.uk/id/region/bromsgrove,164.0,150.0,14.0,-0.4,-0.6,-0.4,-1.1,-0.7,-0.2,-0.3,7.0,7.5,7.0,4.4,7.8,6.8,6.6,,
http://landregistry.data.gov.uk/data/ukhpi/region/bromsgrove/month/1997-06,73756,117735,73634.0,41703,100047.0,68894,55680,22.2,22.5,22.2,26.0,22.7,21.6,21.2,1997-06,1,1997-06-01 00:00:00,http://landregistry.data.gov.uk/id/region/bromsgrove,174.0,159.0,15.0,2.8,3.0,2.9,1.9,2.2,2.9,2.5,8.3,9.1,8.3,4.0,8.6,8.2,7.2,,
http://landregistry.data.gov.uk/data/ukhpi/region/bromsgrove/month/1997-07,75399,120732,75317.0,42299,101679.0,70324,56860,22.7,23.1,22.7,26.4,23.1,22.0,21.7,1997-07,1,1997-07-01 00:00:00,http://landregistry.data.gov.uk/id/region/bromsgrove,202.0,191.0,11.0,2.2,2.5,2.3,1.4,1.6,2.1,2.1,8.8,9.7,8.8,4.3,8.6,8.6,7.9,,
http://landregistry.data.gov.uk/data/ukhpi/region/bromsgrove/month/1997-08,77437,124456,77398.0,43317,103810.0,72078,58235,23.3,23.8,23.4,27.0,23.6,22.6,22.2,1997-08,1,1997-08-01 00:00:00,http://landregistry.data.gov.uk/id/region/bromsgrove,151.0,138.0,13.0,2.7,3.1,2.8,2.4,2.1,2.5,2.4,12.6,13.5,12.8,8.6,11.2,12.5,11.9,,
http://landregistry.data.gov.uk/data/ukhpi/region/bromsgrove/month/1997-09,78313,126142,78264.0,43679,105101.0,72846,58750,23.6,24.1,23.6,27.3,23.9,22.8,22.4,1997-09,1,1997-09-01 00:00:00,http://landregistry.data.gov.uk/id/region/bromsgrove,159.0,147.0,12.0,1.1,1.4,1.1,0.8,1.2,1.1,0.9,13.5,14.2,13.7,10.4,12.2,13.5,12.8,,
http://landregistry.data.gov.uk/data/ukhpi/region/bromsgrove/month/1997-10,79669,128364,79627.0,44503,106826.0,74134,59663,24.0,24.5,24.0,27.8,24.3,23.2,22.7,1997-10,1,1997-10-01 00:00:00,http://landregistry.data.gov.uk/id/region/bromsgrove,144.0,130.0,14.0,1.7,1.8,1.7,1.9,1.6,1.8,1.6,14.8,15.5,15.0,12.2,13.5,14.9,14.1,,
http://landregistry.data.gov.uk/data/ukhpi/region/bromsgrove/month/1997-11,78955,127213,78887.0,44074,106238.0,73477,59132,23.8,24.3,23.8,27.5,24.1,23.0,22.5,1997-11,1,1997-11-01 00:00:00,http://landregistry.data.gov.uk/id/region/bromsgrove,142.0,126.0,16.0,-0.9,-0.9,-0.9,-1.0,-0.6,-0.9,-0.9,14.2,15.1,14.3,10.9,13.5,14.1,13.3,,
http://landregistry.data.gov.uk/data/ukhpi/region/bromsgrove/month/1997-12,77844,125080,77766.0,43513,104880.0,72594,58368,23.5,23.9,23.5,27.2,23.8,22.7,22.2,1997-12,1,1997-12-01 00:00:00,http://landregistry.data.gov.uk/id/region/bromsgrove,148.0,135.0,13.0,-1.4,-1.7,-1.4,-1.3,-1.3,-1.2,-1.3,13.0,14.0,13.0,9.7,13.1,12.8,12.1,,
http://landregistry.data.gov.uk/data/ukhpi/region/bromsgrove/month/1998-01,77277,124514,77134.0,43076,105038.0,71896,57927,23.3,23.8,23.3,26.9,23.9,22.5,22.1,1998-01,1,1998-01-01 00:00:00,http://landregistry.data.gov.uk/id/region/bromsgrove,95.0,91.0,4.0,-0.7,-0.5,-0.8,-1.0,0.1,-1.0,-0.8,9.0,10.2,8.8,5.7,10.3,8.6,7.8,,
http://landregistry.data.gov.uk/data/ukhpi/region/bromsgrove/month/1998-02,78192,125672,77978.0,43851,107401.0,72859,58681,23.6,24.0,23.5,27.4,24.4,22.8,22.4,1998-02,1,1998-02-01 00:00:00,http://landregistry.data.gov.uk/id/region/bromsgrove,103.0,98.0,5.0,1.2,0.9,1.1,1.8,2.2,1.3,1.3,7.2,7.9,7.0,4.8,9.0,7.1,6.5,,
http://landregistry.data.gov.uk/data/ukhpi/region/bromsgrove/month/1998-03,80106,128815,79850.0,44780,110590.0,74625,60181,24.1,24.6,24.1,28.0,25.1,23.4,22.9,1998-03,1,1998-03-01 00:00:00,http://landregistry.data.gov.uk/id/region/bromsgrove,127.0,116.0,11.0,2.4,2.5,2.4,2.1,3.0,2.4,2.6,9.4,10.0,9.2,6.5,10.9,9.6,8.7,,
http://landregistry.data.gov.uk/data/ukhpi/region/bromsgrove/month/1998-04,81253,130221,81006.0,45421,111927.0,75938,61114,24.5,24.9,24.4,28.4,25.4,23.8,23.3,1998-04,1,1998-04-01 00:00:00,http://landregistry.data.gov.uk/id/region/bromsgrove,107.0,97.0,10.0,1.4,1.1,1.4,1.4,1.2,1.8,1.5,12.8,13.3,12.7,9.8,13.6,13.2,12.1,,
http://landregistry.data.gov.uk/data/ukhpi/region/bromsgrove/month/1998-05,82353,131895,82169.0,45762,112136.0,76969,62125,24.8,25.2,24.8,28.6,25.5,24.1,23.7,1998-05,1,1998-05-01 00:00:00,http://landregistry.data.gov.uk/id/region/bromsgrove,149.0,133.0,16.0,1.4,1.3,1.4,0.7,0.2,1.4,1.7,14.8,15.4,14.8,11.8,14.6,14.9,14.4,,
http://landregistry.data.gov.uk/data/ukhpi/region/bromsgrove/month/1998-06,82466,132100,82326.0,46078,111425.0,77006,62189,24.9,25.3,24.8,28.8,25.3,24.1,23.7,1998-06,1,1998-06-01 00:00:00,http://landregistry.data.gov.uk/id/region/bromsgrove,144.0,133.0,11.0,0.1,0.2,0.2,0.7,-0.6,0.0,0.1,11.8,12.2,11.8,10.5,11.4,11.8,11.7,,
http://landregistry.data.gov.uk/data/ukhpi/region/bromsgrove/month/1998-07,82244,131949,82137.0,45893,110502.0,76690,62003,24.8,25.2,24.8,28.7,25.1,24.0,23.6,1998-07,1,1998-07-01 00:00:00,http://landregistry.data.gov.uk/id/region/bromsgrove,170.0,167.0,3.0,-0.3,-0.1,-0.2,-0.4,-0.8,-0.4,-0.3,9.1,9.3,9.1,8.5,8.7,9.1,9.0,,
http://landregistry.data.gov.uk/data/ukhpi/region/bromsgrove/month/1998-08,81721,131751,81586.0,45415,110348.0,75997,61356,24.6,25.2,24.6,28.4,25.1,23.8,23.4,1998-08,1,1998-08-01 00:00:00,http://landregistry.data.gov.uk/id/region/bromsgrove,142.0,141.0,1.0,-0.6,-0.1,-0.7,-1.0,-0.1,-0.9,-1.0,5.5,5.9,5.4,4.8,6.3,5.4,5.4,,
http://landregistry.data.gov.uk/data/ukhpi/region/bromsgrove/month/1998-09,82831,133992,82709.0,45703,111573.0,76901,62071,25.0,25.6,25.0,28.5,25.3,24.1,23.7,1998-09,1,1998-09-01 00:00:00,http://landregistry.data.gov.uk/id/region/bromsgrove,139.0,131.0,8.0,1.4,1.7,1.4,0.6,1.1,1.2,1.2,5.8,6.2,5.7,4.6,6.2,5.6,5.7,,
http://landregistry.data.gov.uk/data/ukhpi/region/bromsgrove/month/1998-10,84211,136300,84073.0,46628,113686.0,78174,62979,25.4,26.1,25.4,29.1,25.8,24.5,24.0,1998-10,1,1998-10-01 00:00:00,http://landregistry.data.gov.uk/id/region/bromsgrove,146.0,141.0,5.0,1.7,1.7,1.6,2.0,1.9,1.7,1.5,5.7,6.2,5.6,4.8,6.4,5.5,5.6,,
http://landregistry.data.gov.uk/data/ukhpi/region/bromsgrove/month/1998-11,84519,136633,84375.0,46952,114214.0,78557,63172,25.5,26.1,25.5,29.3,25.9,24.6,24.1,1998-11,1,1998-11-01 00:00:00,http://landregistry.data.gov.uk/id/region/bromsgrove,113.0,101.0,12.0,0.4,0.2,0.4,0.7,0.5,0.5,0.3,7.0,7.4,7.0,6.5,7.5,6.9,6.8,,
http://landregistry.data.gov.uk/data/ukhpi/region/bromsgrove/month/1998-12,84716,136343,84521.0,47471,115466.0,78988,63391,25.5,26.1,25.5,29.6,26.2,24.8,24.2,1998-12,1,1998-12-01 00:00:00,http://landregistry.data.gov.uk/id/region/bromsgrove,145.0,131.0,14.0,0.2,-0.2,0.2,1.1,1.1,0.5,0.3,8.8,9.0,8.7,9.1,10.1,8.8,8.6,,
http://landregistry.data.gov.uk/data/ukhpi/region/bromsgrove/month/1999-01,84580,136113,84322.0,47349,116516.0,78885,63284,25.5,26.0,25.4,29.6,26.5,24.7,24.1,1999-01,1,1999-01-01 00:00:00,http://landregistry.data.gov.uk/id/region/bromsgrove,89.0,84.0,5.0,-0.2,-0.2,-0.2,-0.3,0.9,-0.1,-0.2,9.5,9.3,9.3,9.9,10.9,9.7,9.2,,
http://landregistry.data.gov.uk/data/ukhpi/region/bromsgrove/month/1999-02,85269,137156,84967.0,47754,118290.0,79555,63838,25.7,26.2,25.6,29.8,26.9,24.9,24.3,1999-02,1,1999-02-01 00:00:00,http://landregistry.data.gov.uk/id/region/bromsgrove,89.0,83.0,6.0,0.8,0.8,0.8,0.9,1.5,0.8,0.9,9.1,9.1,9.0,8.9,10.1,9.2,8.8,,
http://landregistry.data.gov.uk/data/ukhpi/region/bromsgrove/month/1999-03,84852,136780,84556.0,47407,117719.0,79047,63489,25.6,26.2,25.5,29.6,26.7,24.8,24.2,1999-03,1,1999-03-01 00:00:00,http://landregistry.data.gov.uk/id/region/bromsgrove,130.0,124.0,6.0,-0.5,-0.3,-0.5,-0.7,-0.5,-0.6,-0.5,5.9,6.2,5.9,5.9,6.4,5.9,5.5,,
http://landregistry.data.gov.uk/data/ukhpi/region/bromsgrove/month/1999-04,85604,137703,85335.0,47854,118228.0,79749,64342,25.8,26.3,25.8,29.9,26.9,25.0,24.5,1999-04,1,1999-04-01 00:00:00,http://landregistry.data.gov.uk/id/region/bromsgrove,157.0,149.0,8.0,0.9,0.7,0.9,0.9,0.4,0.9,1.3,5.4,5.7,5.3,5.4,5.6,5.0,5.3,,
http://landregistry.data.gov.uk/data/ukhpi/region/bromsgrove/month/1999-05,84614,135822,84396.0,47267,116026.0,78916,63787,25.5,26.0,25.5,29.5,26.4,24.7,24.3,1999-05,1,1999-05-01 00:00:00,http://landregistry.data.gov.uk/id/region/bromsgrove,150.0,139.0,11.0,-1.2,-1.4,-1.1,-1.2,-1.9,-1.0,-0.9,2.7,3.0,2.7,3.3,3.5,2.5,2.7,,
http://landregistry.data.gov.uk/data/ukhpi/region/bromsgrove/month/1999-06,85934,137942,85712.0,47954,117855.0,80110,64853,25.9,26.4,25.9,29.9,26.8,25.1,24.7,1999-06,1,1999-06-01 00:00:00,http://landregistry.data.gov.uk/id/region/bromsgrove,159.0,150.0,9.0,1.6,1.6,1.6,1.5,1.6,1.5,1.7,4.2,4.4,4.1,4.1,5.8,4.0,4.3,,
http://landregistry.data.gov.uk/data/ukhpi/region/bromsgrove/month/1999-07,85823,138229,85599.0,47734,117738.0,79843,64570,25.9,26.4,25.8,29.8,26.7,25.0,24.6,1999-07,1,1999-07-01 00:00:00,http://landregistry.data.gov.uk/id/region/bromsgrove,200.0,193.0,7.0,-0.1,0.2,-0.1,-0.5,-0.1,-0.3,-0.4,4.4,4.8,4.2,4.0,6.5,4.1,4.1,,
http://landregistry.data.gov.uk/data/ukhpi/region/bromsgrove/month/1999-08,88636,143258,88403.0,49165,121631.0,82166,66623,26.7,27.4,26.7,30.7,27.6,25.7,25.4,1999-08,1,1999-08-01 00:00:00,http://landregistry.data.gov.uk/id/region/bromsgrove,184.0,170.0,14.0,3.3,3.6,3.3,3.0,3.3,2.9,3.2,8.5,8.7,8.4,8.3,10.2,8.1,8.6,,
http://landregistry.data.gov.uk/data/ukhpi/region/bromsgrove/month/1999-09,89324,145015,89083.0,49380,122665.0,82514,66934,26.9,27.7,26.9,30.8,27.9,25.9,25.5,1999-09,1,1999-09-01 00:00:00,http://landregistry.data.gov.uk/id/region/bromsgrove,164.0,154.0,10.0,0.8,1.2,0.8,0.4,0.9,0.4,0.5,7.8,8.2,7.7,8.0,9.9,7.3,7.8,,
http://landregistry.data.gov.uk/data/ukhpi/region/bromsgrove/month/1999-10,90641,147000,90421.0,50398,124048.0,83854,67804,27.3,28.1,27.3,31.5,28.2,26.3,25.8,1999-10,1,1999-10-01 00:00:00,http://landregistry.data.gov.uk/id/region/bromsgrove,179.0,172.0,7.0,1.5,1.4,1.5,2.1,1.1,1.6,1.3,7.6,7.8,7.5,8.1,9.1,7.3,7.7,,
http://landregistry.data.gov.uk/data/ukhpi/region/bromsgrove/month/1999-11,91751,148759,91525.0,51216,125634.0,84946,68517,27.7,28.4,27.6,32.0,28.5,26.6,26.1,1999-11,1,1999-11-01 00:00:00,http://landregistry.data.gov.uk/id/region/bromsgrove,155.0,141.0,14.0,1.2,1.2,1.2,1.6,1.3,1.3,1.1,8.6,8.9,8.5,9.1,10.0,8.1,8.5,,
http://landregistry.data.gov.uk/data/ukhpi/region/bromsgrove/month/1999-12,93530,150803,93309.0,52585,127905.0,86899,70163,28.2,28.8,28.2,32.8,29.1,27.2,26.7,1999-12,1,1999-12-01 00:00:00,http://landregistry.data.gov.uk/id/region/bromsgrove,168.0,129.0,39.0,1.9,1.4,1.9,2.7,1.8,2.3,2.4,10.4,10.6,10.4,10.8,10.8,10.0,10.7,,
http://landregistry.data.gov.uk/data/ukhpi/region/bromsgrove/month/2000-01,95141,153825,94897.0,53120,130430.0,88236,71284,28.7,29.4,28.6,33.2,29.6,27.6,27.2,2000-01,1,2000-01-01 00:00:00,http://landregistry.data.gov.uk/id/region/bromsgrove,116.0,103.0,13.0,1.7,2.0,1.7,1.0,2.0,1.5,1.6,12.5,13.0,12.5,12.2,11.9,11.9,12.6,,
http://landregistry.data.gov.uk/data/ukhpi/region/bromsgrove/month/2000-02,95918,155127,95636.0,53517,131758.0,88903,71903,28.9,29.7,28.9,33.4,29.9,27.9,27.4,2000-02,1,2000-02-01 00:00:00,http://landregistry.data.gov.uk/id/region/bromsgrove,108.0,92.0,16.0,0.8,0.8,0.8,0.7,1.0,0.8,0.9,12.5,13.1,12.6,12.1,11.4,11.8,12.6,,
http://landregistry.data.gov.uk/data/ukhpi/region/bromsgrove/month/2000-03,95583,154999,95297.0,53011,131379.0,88505,71464,28.8,29.6,28.8,33.1,29.8,27.7,27.2,2000-03,1,2000-03-01 00:00:00,http://landregistry.data.gov.uk/id/region/bromsgrove,143.0,124.0,19.0,-0.3,-0.1,-0.4,-0.9,-0.3,-0.4,-0.6,12.6,13.3,12.7,11.8,11.6,12.0,12.6,,
http://landregistry.data.gov.uk/data/ukhpi/region/bromsgrove/month/2000-04,95135,153628,94930.0,53329,130266.0,88222,71418,28.7,29.4,28.6,33.3,29.6,27.6,27.2,2000-04,1,2000-04-01 00:00:00,http://landregistry.data.gov.uk/id/region/bromsgrove,110.0,95.0,15.0,-0.5,-0.9,-0.4,0.6,-0.8,-0.3,-0.1,11.1,11.6,11.2,11.4,10.2,10.6,11.0,,
http://landregistry.data.gov.uk/data/ukhpi/region/bromsgrove/month/2000-05,95180,153526,95048.0,53546,129881.0,88408,71382,28.7,29.4,28.7,33.4,29.5,27.7,27.2,2000-05,1,2000-05-01 00:00:00,http://landregistry.data.gov.uk/id/region/bromsgrove,151.0,134.0,17.0,0.0,-0.1,0.1,0.4,-0.3,0.2,-0.1,12.5,13.0,12.6,13.3,11.9,12.0,11.9,,
